Molecule ID,ext,External ID,Gene,Name,Source acc,Regulation (case/control),Validation,Scores
A539E,,PAGE4_HUMAN,PAGE4;GAGEC1;JM27,G antigen family C 1 protein,A_24_P254506,ratio: 7.63,ratio_log2fc: 2.93,,p-value: 1.98E-03
A427H,,MSH5_HUMAN,MSH5;G7;MSH5-SAPCD1,MutS protein homolog 5,A_24_P3804,ratio: 7.57,ratio_log2fc: 2.92,,p-value: 1.10E-05
A279G,,EPO_HUMAN,EPO,Erythropoietin precursor,A_23_P145669,ratio: 7.55,ratio_log2fc: 2.92,,p-value: 5.31E-04
A5556,,MAGC1_HUMAN,MAGEC1,Melanoma-associated antigen C1,A_23_P217178,ratio: 7.51,ratio_log2fc: 2.91,,p-value: 1.65E-05
A1450,,ATF7_HUMAN,ATF7;ATFA,Cyclic-AMP-dependent transcription factor ATF-7,A_24_P347185,ratio: 7.46,ratio_log2fc: 2.90,,p-value: 5.76E-05
A3803,,EF1D_HUMAN,EEF1D;EF1D,Elongation factor 1-delta,A_24_P926053,ratio: 7.44,ratio_log2fc: 2.90,,p-value: 1.46E-04
A431A,,FOXA1_HUMAN,FOXA1;HNF3A;TCF3A,Hepatocyte nuclear factor 3-alpha,A_24_P347431,ratio: 7.15,ratio_log2fc: 2.84,,p-value: 6.16E-06
A9446,,PILRA_HUMAN,PILRA,Paired immunoglobulin-like type 2 receptor alpha,A_23_P31224,ratio: 7.14,ratio_log2fc: 2.84,,p-value: 1.77E-06
A3786,,K1C13_HUMAN,GUCA1B;KRT13,Keratin;type I cytoskeletal 13,A_24_P228149,ratio: 7.11,ratio_log2fc: 2.83,,p-value: 9.60E-08
A411C,,S2610_HUMAN,SLC26A10,Solute carrier family 26;member 10,A_23_P203807,ratio: 7.11,ratio_log2fc: 2.83,,p-value: 1.78E-04
A2524,X,PAP1L_HUMAN,PABPC1L;PABPL1,Poly(A)-binding protein;cytoplasmic 1,A_23_P309599,ratio: 7.09,ratio_log2fc: 2.83,,p-value: 2.64E-05
A5449,,REG1B_HUMAN,REG1B;PSPS2;REGL,Lithostathine 1 beta precursor,A_23_P389500,ratio: 62.37,ratio_log2fc: 5.96,,p-value: 2.24E-10
A5607,,UPK3A_HUMAN,UPK3A;UPK3,Uroplakin 3A precursor,A_24_P348594,ratio: 6.98,ratio_log2fc: 2.80,,p-value: 2.95E-05
A5330,X,FMN2_HUMAN,FMN2;HT016,Formin 2,A_32_P201897,ratio: 6.97,ratio_log2fc: 2.80,,p-value: 5.75E-05
B7299,,HRSL2_HUMAN,HRASLS2,HRAS-like suppressor 2,A_24_P364263,ratio: 6.94,ratio_log2fc: 2.79,,p-value: 1.06E-03
A3876,,ADDA_HUMAN,ADD1;ADDA,Alpha adducin,A_24_P109272,ratio: 6.92,ratio_log2fc: 2.79,,p-value: 2.88E-06
A791D,,PC4L1_HUMAN,PCP4L1;IQM1,Purkinje cell protein 4-like protein 1,A_32_P214665,ratio: 6.89,ratio_log2fc: 2.78,,p-value: 4.94E-04
B6559,,GOG8A_HUMAN,GOLGA8A;GOLGIN-67,Golgin subfamily A member 8A,A_23_P37623,ratio: 6.87,ratio_log2fc: 2.78,,p-value: 4.33E-03
A2563,,CIRBP_HUMAN,CIRBP;A18HNRNP;CIRP,Cold-inducible RNA-binding protein,A_23_P413456,ratio: 6.85,ratio_log2fc: 2.78,,p-value: 4.00E-03
BA832,,NPIB4_HUMAN,NPIPB4;NPIPL3,Nuclear pore complex-interacting protein family member B4,A_32_P215143,ratio: 6.84,ratio_log2fc: 2.77,,p-value: 2.04E-03
A8861,,LIPA4_HUMAN,PPFIA4,Liprin-alpha-4,A_23_P420692,ratio: 6.83,ratio_log2fc: 2.77,,p-value: 5.81E-04
A1450,,ATF7_HUMAN,ATF7;ATFA,Cyclic-AMP-dependent transcription factor ATF-7,A_23_P415532,ratio: 6.77,ratio_log2fc: 2.76,,p-value: 3.90E-04
B6559,,GOG8A_HUMAN,GOLGA8A;GOLGIN-67,Golgin subfamily A member 8A,A_24_P910580,ratio: 6.77,ratio_log2fc: 2.76,,p-value: 5.71E-06
A036H,,KIFC2_HUMAN,KIFC2,Kinesin-like protein KIFC2,A_23_P358542,ratio: 6.73,ratio_log2fc: 2.75,,p-value: 7.05E-13
A0521,,EVL_HUMAN,EVL;RNB6;B6,Ena/vasodilator stimulated phosphoprotein-like protein,A_24_P942648,ratio: 6.72,ratio_log2fc: 2.75,,p-value: 1.21E-03
A436D,,FA65C_HUMAN,FAM65C,Protein FAM65C,A_23_P210577,ratio: 6.69,ratio_log2fc: 2.74,,p-value: 1.59E-04
A693F,,CCNL2_HUMAN,CCNL2;SB138;HCLA-iso,Cyclin-L2,A_24_P51588,ratio: 6.63,ratio_log2fc: 2.73,,p-value: 4.66E-06
BA833,,NPIB5_HUMAN,NPIPB5,Nuclear pore complex-interacting protein family member B5,A_32_P168853,ratio: 6.59,ratio_log2fc: 2.72,,p-value: 2.49E-04
B6563,,GOG8F_HUMAN,GOLGA8F;GOLGA8G,Golgin subfamily A member 8F/8G,A_24_P384588,ratio: 6.48,ratio_log2fc: 2.70,,p-value: 7.26E-04
A8274,,IGLL1_HUMAN,IGLL1;IGL1;IGLJ14.1,Immunoglobulin lambda-like polypeptide 1 precursor,A_23_P120812,ratio: 6.47,ratio_log2fc: 2.69,,p-value: 1.09E-04
A4558,,ADIPO_HUMAN,ADIPOQ;ACDC;ACRP30,Adiponectin precursor,A_23_P369237,ratio: 6.44,ratio_log2fc: 2.69,,p-value: 2.31E-06
A2524,X,PAP1L_HUMAN,PABPC1L;PABPL1,Poly(A)-binding protein;cytoplasmic 1,A_23_P436484,ratio: 6.38,ratio_log2fc: 2.67,,p-value: 2.89E-04
A880A,,PRP18_HUMAN,PRPF18;HPRP18;PRP18,Pre-mRNA splicing factor 18,A_23_P418046,ratio: 6.38,ratio_log2fc: 2.67,,p-value: 1.01E-04
A0343,,AT1A4_HUMAN,ATP1A4;ATP1AL2,Sodium/potassium-transporting ATPase alpha-4 chain,A_24_P307626,ratio: 6.37,ratio_log2fc: 2.67,,p-value: 2.57E-03
A0635,,DCE1_HUMAN,GAD1;GAD;GAD67,Glutamate decarboxylase 1;brain;67kDa,A_23_P374689,ratio: 6.31,ratio_log2fc: 2.66,,p-value: 8.82E-04
A1742,,HBB_HUMAN,HBB;beta-globin,Hemoglobin beta chain,A_23_P203558,ratio: 6.29,ratio_log2fc: 2.65,,p-value: 1.18E-03
A7773,,SAHH_HUMAN,AHCY;SAHH,Adenosylhomocysteinase,A_24_P57367,ratio: 6.27,ratio_log2fc: 2.65,,p-value: 3.69E-03
B0447,,AGAP4_HUMAN,AGAP4;CTGLF1;MRIP2,Arf-GAP with GTPase;ANK repeat and PH domain-containing protein 4,A_32_P211363,ratio: 6.25,ratio_log2fc: 2.64,,p-value: 1.87E-05
A673F,,CCD71_HUMAN,CCDC71,Coiled-coil domain-containing protein 71,A_23_P61524,ratio: 6.23,ratio_log2fc: 2.64,,p-value: 1.20E-08
A4741,,CYR61_HUMAN,CYR61;CCN1;GIG1,CYR61 protein precursor,A_24_P370946,ratio: 6.22,ratio_log2fc: 2.64,,p-value: 5.58E-06
A487J,,RBL2B_HUMAN,RABL2B;RABL2A,Rab-like protein 2B,A_24_P342020,ratio: 6.19,ratio_log2fc: 2.63,,p-value: 2.43E-06
A0713,,P55G_HUMAN,PIK3R3,Phosphatidylinositol 3-kinase regulatory gamma subunit,A_24_P527274,ratio: 6.18,ratio_log2fc: 2.63,,p-value: 2.92E-05
A778C,,AN18A_HUMAN,ANKRD18A,Ankyrin repeat domain protein 18A,A_23_P310552,ratio: 6.18,ratio_log2fc: 2.63,,p-value: 2.60E-07
A990C,,CCD57_HUMAN,CCDC57,Coiled-coil domain-containing protein 57,A_23_P365119,ratio: 6.17,ratio_log2fc: 2.63,,p-value: 3.22E-04
A753G,,HEMK1_HUMAN,HEMK1;HEMK,HEMK methyltransferase family member 1,A_23_P109934,ratio: 6.17,ratio_log2fc: 2.62,,p-value: 4.69E-05
A0435,,MPP3_HUMAN,MPP3;DLG3,MAGUK p55 subfamily member 3,A_23_P141346,ratio: 6.16,ratio_log2fc: 2.62,,p-value: 3.52E-03
BA833,,NPIB5_HUMAN,NPIPB5,Nuclear pore complex-interacting protein family member B5,A_24_P693321,ratio: 6.16,ratio_log2fc: 2.62,,p-value: 5.20E-04
A374E,X,TANC2_HUMAN,TANC2,Protein TANC2,A_24_P361480,ratio: 6.15,ratio_log2fc: 2.62,,p-value: 2.46E-05
A1741,,HBA_HUMAN,HBA1;HBA2;HBZ,Hemoglobin subunit alpha,A_23_P26457,ratio: 6.08,ratio_log2fc: 2.60,,p-value: 6.36E-04
A3044,,ZN783_HUMAN,ZNF783,Zinc finger protein 783,A_23_P254442,ratio: 6.03,ratio_log2fc: 2.59,,p-value: 2.59E-04
A613H,,NRBP2_HUMAN,NRBP2;PP9320;TRG16,Nuclear receptor-binding protein 2,A_24_P242132,ratio: 6.03,ratio_log2fc: 2.59,,p-value: 1.90E-07
A288E,,SCUB2_HUMAN,SCUBE2;CEGP1,Signal peptide;CUB and EGF-like domain-containing protein 2,A_23_P105144,ratio: 6.02,ratio_log2fc: 2.59,,p-value: 2.05E-06
A3194,,ST18_HUMAN,ST18;ZNF387,Suppression of tumorigenicity 18 protein,A_23_P31858,ratio: 6.02,ratio_log2fc: 2.59,,p-value: 5.54E-04
A9443,,PEAR1_HUMAN,PEAR1;MEGF12,Platelet endothelial aggregation receptor 1 precursor,A_24_P943301,ratio: 5,ratio_log2fc: 2.32,,p-value: 8.91E-05
A3636,,DHRS2_HUMAN,DHRS2,Dehydrogenase/reductase SDR family member 2,A_23_P48570,ratio: 53.39,ratio_log2fc: 5.74,,p-value: 1.60E-09
A069B,,T22D3_HUMAN,TSC22D3;DSIPI;GILZ,Glucocorticoid-induced leucine zipper protein,A_23_P217688,ratio: 5.9,ratio_log2fc: 2.56,,p-value: 2.48E-04
A2525,,CELF6_HUMAN,CELF6;BRUNOL6,CUG-BP- and ETR-3-like factor 6,A_23_P140490,ratio: 5.93,ratio_log2fc: 2.57,,p-value: 2.85E-05
A499I,,SNX31_HUMAN,SNX31;HA1355,Sorting Nexin-31,A_23_P382811,ratio: 5.92,ratio_log2fc: 2.57,,p-value: 2.25E-04
A7055,,MOGT1_HUMAN,MOGAT1;DC2;DGAT2L1,2-acylglycerol O-acyltransferase 1,A_23_P142574,ratio: 5.92,ratio_log2fc: 2.57,,p-value: 5.05E-04
A5093,,POTEG_HUMAN,POTEG;A26C2;POTE14,POTE ankyrin domain family member G,A_32_P16323,ratio: 5.8,ratio_log2fc: 2.54,,p-value: 6.43E-06
A4638,X,CCD80_HUMAN,URB;CCDC80;DRO1,Coiled-coil domain-containing protein 80 precursor,A_23_P58082,ratio: 5.81,ratio_log2fc: 2.54,,p-value: 5.76E-05
A3682,,ODO2_HUMAN,DLST;DLTS;E2,Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex;mitochondrial precursor,A_24_P13572,ratio: 5.76,ratio_log2fc: 2.53,,p-value: 4.38E-04
A5155,,SPTN5_HUMAN,SPTBN5;SPTBN4;BSPECV,Spectrin beta chain;brain 4,A_23_P152082,ratio: 5.74,ratio_log2fc: 2.52,,p-value: 1.94E-04
A1488,,PO5F1_HUMAN,POU5F1;Oct-03;Oct-04,POU domain;class 5;transcription factor 1,A_32_P132563,ratio: 5.73,ratio_log2fc: 2.52,,p-value: 1.47E-06
A3441,,PITX1_HUMAN,PITX1;BFT;PTX1,Pituitary homeobox 1,A_23_P58642,ratio: 5.73,ratio_log2fc: 2.52,,p-value: 6.57E-05
A301E,X,SETD5_HUMAN,SETD5,SET domain-containing protein 5,A_24_P944427,ratio: 5.71,ratio_log2fc: 2.51,,p-value: 1.00E-06
A0485,,PGH2_HUMAN,PTGS2;COX-2;COX2,Prostaglandin G/H synthase 2 precursor,A_24_P77008,ratio: 5.6,ratio_log2fc: 2.48,,p-value: 1.47E-05
A2113,,SC31B_HUMAN,SEC31B;SEC31L2,Protein transport protein Sec31B,A_23_P35564,ratio: 5.67,ratio_log2fc: 2.50,,p-value: 9.28E-04
A1741,,HBA_HUMAN,HBA1;HBA2;HBZ,Hemoglobin subunit alpha,A_24_P142305,ratio: 5.61,ratio_log2fc: 2.49,,p-value: 1.23E-05
A241K,,SIMC1_HUMAN,SIMC1,SUMO-interacting motif-containing protein 1,A_24_P930169,ratio: 5.61,ratio_log2fc: 2.49,,p-value: 1.98E-05
A3362,,HXB8_HUMAN,HOXB8;HOX2D,Homeobox protein Hox-B8,A_23_P370588,ratio: 5.5,ratio_log2fc: 2.46,,p-value: 5.65E-05
A717H,,P2RX1_HUMAN,P2RX1;P2X1,P2X purinoceptor 1,A_23_P372848,ratio: 5.58,ratio_log2fc: 2.48,,p-value: 1.46E-04
A262H,,MAML1_HUMAN,MAML1,Mastermind-like protein 1,A_23_P252250,ratio: 5.56,ratio_log2fc: 2.48,,p-value: 2.32E-04
A292C,X,PO210_HUMAN,NUP210,Nuclear pore membrane glycoprotein 210,A_24_P282000,ratio: 5.54,ratio_log2fc: 2.47,,p-value: 1.13E-05
A1865,,GBG13_HUMAN,GNG13,Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-13 subunit,A_23_P54736,ratio: 5.53,ratio_log2fc: 2.47,,p-value: 2.89E-09
A370F,,ARHGP_HUMAN,ARHGEF25;GEFT;SLC26A10,Guanine nucleotide exchange factor GEFT,A_23_P98844,ratio: 5.47,ratio_log2fc: 2.45,,p-value: 1.50E-04
A472C,,SC24C_HUMAN,SEC24C,Protein transport protein Sec24C,A_24_P255338,ratio: 5.46,ratio_log2fc: 2.45,,p-value: 9.59E-04
A6906,,LMTK1_HUMAN,AATK;AATYK;LMR1,Serine/threonine-protein kinase LMTK1,A_23_P10559,ratio: 5.44,ratio_log2fc: 2.44,,p-value: 9.73E-04
A259G,,EME2_HUMAN,EME2;GS125,Essential meiotic endonuclease 1 homolog 2,A_23_P366125,ratio: 5.41,ratio_log2fc: 2.44,,p-value: 7.98E-05
A606H,,NR4A1_HUMAN,NR4A1;GFRP1;HMR,Nuclear receptor subfamily 4;group A;member 1,A_23_P128230,ratio: 5.41,ratio_log2fc: 2.44,,p-value: 2.76E-06
A119H,,LEG12_HUMAN,LGALS12;GRIP1,Galectin-12,A_23_P139198,ratio: 5.37,ratio_log2fc: 2.43,,p-value: 1.65E-05
A1741,,HBA_HUMAN,HBA1;HBA2;HBZ,Hemoglobin subunit alpha,A_23_P37856,ratio: 5.36,ratio_log2fc: 2.42,,p-value: 2.51E-04
B0074,,A20A1_HUMAN,ANKRD20A1;ANKRD20A,Ankyrin repeat domain-containing protein 20A1,A_32_P168326,ratio: 5.33,ratio_log2fc: 2.42,,p-value: 3.33E-06
A487J,,RBL2B_HUMAN,RABL2B;RABL2A,Rab-like protein 2B,A_24_P342023,ratio: 5.32,ratio_log2fc: 2.41,,p-value: 1.22E-05
A6506,X,FGFR3_HUMAN,FGFR3;JTK4,Fibroblast growth factor receptor 3 precursor,A_23_P212830,ratio: 5.32,ratio_log2fc: 2.41,,p-value: 6.96E-06
BB752,,P5F1B_HUMAN,POU5F1B;OTF3C;OTF3P1,POU domain;class 5;transcription factor 1-like protein 2,A_24_P144601,ratio: 5.32,ratio_log2fc: 2.41,,p-value: 5.83E-05
A4759,,DYH1_HUMAN,DNAH1;DHC7;DNAHC1,Dynein heavy chain 1;axonemal,A_23_P18213,ratio: 5.31,ratio_log2fc: 2.41,,p-value: 5.77E-08
A1450,,ATF7_HUMAN,ATF7;ATFA,Cyclic-AMP-dependent transcription factor ATF-7,A_23_P415533,ratio: 5.2,ratio_log2fc: 2.38,,p-value: 5.02E-04
A7350,X,PDXK_HUMAN,PDXK;PKH;PNK,Pyridoxal kinase,A_23_P301328,ratio: 5.25,ratio_log2fc: 2.39,,p-value: 1.40E-04
A2317,,MICA3_HUMAN,MICAL3,Microtubule associated monoxygenase;Calponin and LIM domain containing 3,A_23_P403195,ratio: 5.21,ratio_log2fc: 2.38,,p-value: 3.89E-04
A2927,,ZN493_HUMAN,ZNF493,Zinc finger protein 493,A_24_P282261,ratio: 5.18,ratio_log2fc: 2.37,,p-value: 1.05E-03
A9405,,MRC2_HUMAN,MRC2;CLEC13E;ENDO180,C-type mannose receptor 2,A_23_P49627,ratio: 5.15,ratio_log2fc: 2.36,,p-value: 6.57E-05
A092A,,RHES_HUMAN,RASD2;TEM2,GTP-binding protein Rhes,A_23_P143673,ratio: 5.12,ratio_log2fc: 2.36,,p-value: 1.08E-04
A727D,,MY15B_HUMAN,MYO15B;MYO15BP,Unconventional myosin-XVB,A_24_P195669,ratio: 5.11,ratio_log2fc: 2.35,,p-value: 7.25E-04
A4589,X,AVIL_HUMAN,AVIL,Advillin,A_24_P419087,ratio: 5.08,ratio_log2fc: 2.35,,p-value: 6.01E-04
A262H,,MAML1_HUMAN,MAML1,Mastermind-like protein 1,A_24_P380183,ratio: 5.08,ratio_log2fc: 2.34,,p-value: 2.82E-04
A3736,X,UCP4_HUMAN,SLC25A27;UCP4;UNQ772/PRO1566,Mitochondrial uncoupling protein 4,A_23_P81721,ratio: 5.05,ratio_log2fc: 2.34,,p-value: 2.73E-03
A4631,,CAMP1_HUMAN,CAMSAP1,Calmodulin regulated spectrin-associated protein 1,A_23_P32054,ratio: 5.05,ratio_log2fc: 2.34,,p-value: 6.65E-06
A608H,,NR4A3_HUMAN,NR4A3;CHN;CSMF,Nuclear hormone receptor NOR-1,A_23_P398566,ratio: 5.04,ratio_log2fc: 2.33,,p-value: 8.19E-04
A930I,,TP8L3_HUMAN,TNFAIP8L3,Tumor necrosis factor;alpha-induced protein 8-like protein 3,A_24_P375485,ratio: 5.02,ratio_log2fc: 2.33,,p-value: 1.18E-03
A0853,,SMG1_HUMAN,SMG1;ATX;LIP,Serine/threonine-protein kinase SMG1,A_23_P383698,ratio: 5.01,ratio_log2fc: 2.33,,p-value: 6.32E-05
A1015,,BAIP2_HUMAN,BAIAP2;IRSP53,Brain-specific angiogenesis inhibitor 1-associated protein 2,A_23_P315836,ratio: 4,ratio_log2fc: 2.00,,p-value: 3.13E-04
A8069,,TTLL3_HUMAN,TTLL3;PRO0207,Tubulin monoglycylase TTLL3,A_24_P37540,ratio: 4.98,ratio_log2fc: 2.32,,p-value: 5.03E-06
BG308,,TDR10_HUMAN,TDRD10;UNQ9380/PRO34205;UNQ9380,TUDOR domain-containing protein 10,A_32_P7974,ratio: 4.92,ratio_log2fc: 2.30,,p-value: 4.90E-06
A1488,,PO5F1_HUMAN,POU5F1;Oct-03;Oct-04,POU domain;class 5;transcription factor 1,A_24_P340659,ratio: 4.89,ratio_log2fc: 2.29,,p-value: 4.69E-05
A1669,X,K2C5_HUMAN,KRT5,Keratin;type II cytoskeletal 5,A_23_P218047,ratio: 4.89,ratio_log2fc: 2.29,,p-value: 2.87E-05
A622D,,KANK2_HUMAN,KANK2;ANKRD25;MXRA3,Ankyrin repeat domain-containing protein 25,A_23_P55897,ratio: 4.89,ratio_log2fc: 2.29,,p-value: 1.32E-03
BA831,,NPIB3_HUMAN,NPIPB3;NPIPL3;Pps22-1,Nuclear pore complex-interacting protein family member B3,A_32_P89087,ratio: 4.89,ratio_log2fc: 2.29,,p-value: 7.75E-05
A501D,,GOG6A_HUMAN,GOLGA6A;GLP;GOLGA6,Golgin subfamily A member 6A,A_23_P106371,ratio: 4.87,ratio_log2fc: 2.28,,p-value: 2.82E-03
A5494,,TICN2_HUMAN,SPOCK2;TICN2;UNQ269/PRO306,Testican-2 precursor,A_24_P321093,ratio: 4.86,ratio_log2fc: 2.28,,p-value: 3.07E-04
A7667,,RECQ5_HUMAN,RECQL5;PP1045;RECQ5,ATP-dependent DNA helicase Q5,A_23_P324989,ratio: 4.86,ratio_log2fc: 2.28,,p-value: 3.96E-05
A247I,,S1PR3_HUMAN,S1PR3;EDG3,Sphingosine 1-phosphate receptor Edg-3,A_24_P83462,ratio: 4.84,ratio_log2fc: 2.27,,p-value: 8.25E-05
A178F,,AAA1_HUMAN,SLC7A10;ASC1,Solute carrier family 7;member 10,A_23_P108075,ratio: 4.82,ratio_log2fc: 2.27,,p-value: 3.69E-03
A7349,,PDXD1_HUMAN,PDXDC1,Pyridoxal-dependent decarboxylase domain-containing protein 1,A_23_P391583,ratio: 4.82,ratio_log2fc: 2.27,,p-value: 3.00E-05
B6563,,GOG8F_HUMAN,GOLGA8F;GOLGA8G,Golgin subfamily A member 8F/8G,A_24_P264166,ratio: 4.82,ratio_log2fc: 2.27,,p-value: 3.49E-04
A5784,,ALLC_HUMAN,ALLC,Probable allantoicase,A_23_P108734,ratio: 4.81,ratio_log2fc: 2.27,,p-value: 1.20E-03
A8438,,KAIN_HUMAN,SERPINA4;KST;PI4,Kallistatin precursor,A_23_P25720,ratio: 4.81,ratio_log2fc: 2.27,,p-value: 1.98E-03
A9797,,BMP3_HUMAN,BMPY;BMP3;BMP3A,Bone morphogenetic protein 3 precursor,A_23_P81058,ratio: 4.81,ratio_log2fc: 2.27,,p-value: 5.34E-05
B0074,,A20A1_HUMAN,ANKRD20A1;ANKRD20A,Ankyrin repeat domain-containing protein 20A1,A_24_P868583,ratio: 4.81,ratio_log2fc: 2.27,,p-value: 1.20E-05
A002H,,KCAB3_HUMAN,KCNAB3;KCNA3B,Voltage-gated potassium channel beta-3 subunit,A_23_P125033,ratio: 4.7,ratio_log2fc: 2.23,,p-value: 1.89E-05
A487B,,ITM2C_HUMAN,ITM2C;BRI3;hucep-14,Integral membrane protein 2C,A_24_P379820,ratio: 4.7,ratio_log2fc: 2.23,,p-value: 2.54E-03
A8058,,TSP50_HUMAN,PRSS50;CT20;TSP50,Testis-specific protease-like protein 50 precursor,A_23_P10172,ratio: 4.7,ratio_log2fc: 2.23,,p-value: 2.81E-04
