Entrez Id,Gene Symbol,Description,Exp. # of eQTLs,Pr. of no eQTL,FDR
58986,TMEM8A,transmembrane protein 8A,1.08,2.16E-14,1.18E-15
8673,VAMP8,vesicle associated membrane protein 8,1.06,2.55E-14,1.39E-15
93210,PGAP3,post-GPI attachment to proteins 3,1.04,2.77E-14,1.61E-15
51018,RRP15,ribosomal RNA processing 15 homolog,1.02,3.09E-14,1.85E-15
84795,PYROXD2,pyridine nucleotide-disulphide oxidoreductase domain 2,1.73,3.35E-14,2.11E-15
85439,STON2,stonin 2,1.38,4.08E-14,2.42E-15
56267,KYAT3,kynurenine aminotransferase 3,1.27,4.41E-14,2.76E-15
11148,HHLA2,HERV-H LTR-associating 2,2.06,6.14E-14,3.23E-15
2950,GSTP1,glutathione S-transferase pi 1,1.01,8.09E-14,3.84E-15
3131,HLF,"HLF, PAR bZIP transcription factor",1.38,8.13E-14,4.45E-15
5020,OXT,oxytocin/neurophysin I prepropeptide,2.12,9.00E-14,5.12E-15
29092,LINC00339,long intergenic non-protein coding RNA 339,1.4,1.02E-13,5.87E-15
348158,ACSM2B,acyl-CoA synthetase medium chain family member 2B,1.03,1.15E-13,6.72E-15
23590,PDSS1,decaprenyl diphosphate synthase subunit 1,1.39,1.39E-13,7.73E-15
130502,TTC32,tetratricopeptide repeat domain 32,1.01,1.70E-13,8.96E-15
55080,TAPBPL,TAP binding protein like,1.09,1.85E-13,1.03E-14
100506305,LINC00958,long intergenic non-protein coding RNA 958,1.12,1.86E-13,1.16E-14
100996579,LINC01806,long intergenic non-protein coding RNA 1806,1,2.55E-13,1.34E-14
590,BCHE,butyrylcholinesterase,1.09,3.36E-13,1.58E-14
138255,C9ORF135,chromosome 9 open reading frame 135,1.06,3.94E-13,1.85E-14
200010,SLC5A9,solute carrier family 5 member 9,4,3.96E-13,2.13E-14
8858,PROZ,"protein Z, vitamin K dependent plasma glycoprotein",2.8,4.68E-13,2.45E-14
64940,STAG3L4,stromal antigen 3-like 4 (pseudogene),2,7.41E-13,2.96E-14
118980,SFXN2,sideroflexin 2,2.04,8.18E-13,3.52E-14
101929407,PTPRD-AS1,PTPRD antisense RNA 1,1.01,8.20E-13,4.07E-14
100874207,ST3GAL6-AS1,ST3GAL6 antisense RNA 1,1.11,9.63E-13,4.72E-14
284111,SLC13A5,solute carrier family 13 member 5,1.13,9.86E-13,5.37E-14
155368,METTL27,methyltransferase like 27,1.02,1.02E-12,6.04E-14
1595,CYP51A1,cytochrome P450 family 51 subfamily A member 1,1.03,1.51E-12,7.03E-14
283238,SLC22A24,solute carrier family 22 member 24,1.02,1.57E-12,8.05E-14
2548,GAA,"glucosidase alpha, acid",1.04,1.96E-12,9.31E-14
9153,SLC28A2,solute carrier family 28 member 2,2.11,2.50E-12,1.09E-13
11145,PLA2G16,phospholipase A2 group XVI,1.19,2.58E-12,1.26E-13
100506159,LINC02470,long intergenic non-protein coding RNA 2470,1.02,3.08E-12,1.45E-13
54988,ACSM5,acyl-CoA synthetase medium chain family member 5,1.03,3.68E-12,1.69E-13
57493,HEG1,heart development protein with EGF like domains 1,1.05,4.71E-12,1.98E-13
5169,ENPP3,ectonucleotide pyrophosphatase/phosphodiesterase 3,1.14,5.19E-12,2.31E-13
122704,MRPL52,mitochondrial ribosomal protein L52,1.5,5.60E-12,2.65E-13
121504,HIST4H4,histone cluster 4 H4,1.06,6.67E-12,3.06E-13
4731,NDUFV3,NADH:ubiquinone oxidoreductase subunit V3,1.22,7.04E-12,3.49E-13
79144,PPDPF,pancreatic progenitor cell differentiation and proliferation factor,2.1,1.11E-11,4.18E-13
112770,GLMP,glycosylated lysosomal membrane protein,1.1,1.63E-11,5.18E-13
339400,FLG-AS1,FLG antisense RNA 1,1.28,1.68E-11,6.19E-13
6792,CDKL5,cyclin dependent kinase like 5,1,1.74E-11,7.23E-13
101927861,LINC01293,long intergenic non-protein coding RNA 1293,1,2.04E-11,8.44E-13
255403,ZNF718,zinc finger protein 718,1.28,2.54E-11,9.95E-13
3094,HINT1,histidine triad nucleotide binding protein 1,1.99,2.57E-11,1.15E-12
7358,UGDH,UDP-glucose 6-dehydrogenase,2.23,2.57E-11,1.29E-12
399979,SNX19,sorting nexin 19,2.14,2.64E-11,1.45E-12
100507436,MICA,MHC class I polypeptide-related sequence A,1.83,2.99E-11,1.62E-12
57820,CCNB1IP1,cyclin B1 interacting protein 1,1.95,3.11E-11,1.79E-12
7289,TULP3,tubby like protein 3,1.68,3.56E-11,1.99E-12
285440,CYP4V2,cytochrome P450 family 4 subfamily V member 2,2.09,4.21E-11,2.23E-12
8836,GGH,gamma-glutamyl hydrolase,2.15,4.43E-11,2.47E-12
56950,SMYD2,SET and MYND domain containing 2,1.4,4.43E-11,2.72E-12
11136,SLC7A9,solute carrier family 7 member 9,1.82,4.50E-11,2.96E-12
4938,OAS1,2'-5'-oligoadenylate synthetase 1,1.13,4.60E-11,3.21E-12
26164,MTG2,mitochondrial ribosome associated GTPase 2,1.01,5.10E-11,3.48E-12
145482,PTGR2,prostaglandin reductase 2,2.03,5.21E-11,3.76E-12
100507540,LINC01504,long intergenic non-protein coding RNA 1504,1.01,5.34E-11,4.04E-12
23144,ZC3H3,zinc finger CCCH-type containing 3,1,5.73E-11,4.34E-12
51816,ADA2,adenosine deaminase 2,1.79,6.13E-11,4.66E-12
133383,SETD9,SET domain containing 9,1.2,6.45E-11,4.99E-12
100037417,DDTL,D-dopachrome tautomerase like,1.01,8.75E-11,5.45E-12
26063,DECR2,"2,4-dienoyl-CoA reductase 2",2.13,9.38E-11,5.93E-12
115817,DHRS1,dehydrogenase/reductase 1,2.14,9.82E-11,6.43E-12
6482,ST3GAL1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",1.1,1.10E-10,7.00E-12
64866,CDCP1,CUB domain containing protein 1,1.06,1.15E-10,7.58E-12
51081,MRPS7,mitochondrial ribosomal protein S7,1.19,1.22E-10,8.19E-12
143662,MUC15,"mucin 15, cell surface associated",1.01,1.33E-10,8.86E-12
728577,CNTNAP3B,contactin associated protein like 3B,1.77,1.39E-10,9.55E-12
411,ARSB,arylsulfatase B,1.55,1.54E-10,1.03E-11
1429,CRYZ,crystallin zeta,2.1,1.57E-10,1.11E-11
92421,CHMP4C,charged multivesicular body protein 4C,1,1.60E-10,1.19E-11
101929265,LINC01428,long intergenic non-protein coding RNA 1428,1.05,1.65E-10,1.27E-11
2639,GCDH,glutaryl-CoA dehydrogenase,1.01,1.69E-10,1.35E-11
9570,GOSR2,golgi SNAP receptor complex member 2,1.02,1.82E-10,1.43E-11
1577,CYP3A5,cytochrome P450 family 3 subfamily A member 5,1.03,1.88E-10,1.52E-11
340562,SATL1,spermidine/spermine N1-acetyl transferase like 1,1.1,2.00E-10,1.62E-11
101929218,LINC01517,long intergenic non-protein coding RNA 1517,1.1,2.08E-10,1.72E-11
5711,PSMD5,"proteasome 26S subunit, non-ATPase 5",1.03,2.38E-10,1.83E-11
977,CD151,CD151 molecule (Raph blood group),1.05,2.50E-10,1.94E-11
28974,C19ORF53,chromosome 19 open reading frame 53,1.14,2.54E-10,2.06E-11
9700,ESPL1,"extra spindle pole bodies like 1, separase",1,2.93E-10,2.20E-11
1803,DPP4,dipeptidyl peptidase 4,1.02,3.04E-10,2.34E-11
55845,BRK1,"BRICK1, SCAR/WAVE actin nucleating complex subunit",1.07,3.05E-10,2.47E-11
9980,DOPEY2,dopey family member 2,1.06,3.65E-10,2.64E-11
59084,ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),1.14,3.70E-10,2.81E-11
55753,OGDHL,oxoglutarate dehydrogenase like,1.01,4.85E-10,3.03E-11
10581,IFITM2,interferon induced transmembrane protein 2,2.07,5.43E-10,3.28E-11
139322,APOOL,apolipoprotein O like,1.02,5.60E-10,3.53E-11
55505,NOP10,NOP10 ribonucleoprotein,1.01,7.77E-10,3.89E-11
6251,RSU1,Ras suppressor protein 1,1.05,7.81E-10,4.24E-11
26090,ABHD12,abhydrolase domain containing 12,1.03,8.11E-10,4.60E-11
54529,ASNSD1,asparagine synthetase domain containing 1,1.02,8.16E-10,4.97E-11
55623,THUMPD1,THUMP domain containing 1,1.44,8.31E-10,5.33E-11
26,AOC1,"amine oxidase, copper containing 1",2.1,8.33E-10,5.70E-11
6936,GCFC2,GC-rich sequence DNA-binding factor 2,1.09,8.41E-10,6.06E-11
29074,MRPL18,mitochondrial ribosomal protein L18,1.06,8.50E-10,6.43E-11
347,APOD,apolipoprotein D,1.06,9.18E-10,6.82E-11
10467,ZNHIT1,zinc finger HIT-type containing 1,1.03,9.23E-10,7.21E-11
5267,SERPINA4,serpin family A member 4,1.01,1.02E-09,7.65E-11
23593,HEBP2,heme binding protein 2,1.03,1.02E-09,8.07E-11
79867,TCTN2,tectonic family member 2,2.04,1.08E-09,8.52E-11
9573,GDF3,growth differentiation factor 3,1.17,1.12E-09,8.99E-11
53828,FXYD4,FXYD domain containing ion transport regulator 4,1.94,1.14E-09,9.46E-11
197257,LDHD,lactate dehydrogenase D,1.09,1.19E-09,9.95E-11
51179,HAO2,hydroxyacid oxidase 2,1.2,1.34E-09,1.05E-10
54059,YBEY,ybeY metallopeptidase (putative),1.99,1.37E-09,1.11E-10
8763,CD164,CD164 molecule,1.69,1.40E-09,1.16E-10
7029,TFDP2,transcription factor Dp-2,2.03,1.41E-09,1.22E-10
7726,TRIM26,tripartite motif containing 26,1.69,1.43E-09,1.28E-10
119391,GSTO2,glutathione S-transferase omega 2,2,1.46E-09,1.34E-10
8529,CYP4F2,cytochrome P450 family 4 subfamily F member 2,2.03,1.52E-09,1.40E-10
51693,TRAPPC2L,trafficking protein particle complex 2 like,1.33,1.68E-09,1.46E-10
57578,UNC79,"unc-79 homolog, NALCN channel complex subunit",1.24,1.71E-09,1.53E-10
641371,ACOT1,acyl-CoA thioesterase 1,2.13,1.84E-09,1.60E-10
3115,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1",1,1.94E-09,1.68E-10
51382,ATP6V1D,ATPase H+ transporting V1 subunit D,1.01,2.09E-09,1.76E-10
8089,YEATS4,YEATS domain containing 4,2.65,2.22E-09,1.84E-10
64902,AGXT2,alanine--glyoxylate aminotransferase 2,2.06,2.52E-09,1.94E-10
54947,LPCAT2,lysophosphatidylcholine acyltransferase 2,1.94,2.59E-09,2.04E-10
415,ARSE,arylsulfatase E (chondrodysplasia punctata 1),1.83,2.81E-09,2.15E-10
26801,SNORD48,"small nucleolar RNA, C/D box 48",1.05,3.24E-09,2.28E-10
55151,TMEM38B,transmembrane protein 38B,1.01,3.30E-09,2.40E-10
100505641,FGD5-AS1,FGD5 antisense RNA 1,1.01,3.61E-09,2.54E-10
163227,ZNF100,zinc finger protein 100,1.07,3.65E-09,2.68E-10
1672,DEFB1,defensin beta 1,1.16,3.80E-09,2.83E-10
5441,POLR2L,RNA polymerase II subunit L,1.18,4.69E-09,3.00E-10
3113,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1",1.14,4.95E-09,3.19E-10
3613,IMPA2,inositol monophosphatase 2,1.05,6.21E-09,3.43E-10
2974,GUCY1B2,guanylate cyclase 1 soluble subunit beta 2 (pseudogene),1.23,6.34E-09,3.67E-10
51460,SFMBT1,Scm like with four mbt domains 1,1.16,6.38E-09,3.91E-10
26586,CKAP2,cytoskeleton associated protein 2,1.37,6.77E-09,4.17E-10
440270,GOLGA8B,golgin A8 family member B,1.41,7.54E-09,4.45E-10
150353,DNAJB7,DnaJ heat shock protein family (Hsp40) member B7,1.03,8.97E-09,4.79E-10
145226,RDH12,retinol dehydrogenase 12 (all-trans/9-cis/11-cis),1.02,9.83E-09,5.15E-10
100128782,LINC00476,long intergenic non-protein coding RNA 476,1.11,1.02E-08,5.53E-10
6748,SSR4,signal sequence receptor subunit 4,1.05,1.07E-08,5.93E-10
51082,POLR1D,RNA polymerase I subunit D,1.62,1.42E-08,6.46E-10
3827,KNG1,kininogen 1,1.07,1.44E-08,6.99E-10
5340,PLG,plasminogen,1.94,1.61E-08,7.59E-10
84792,FAM220A,family with sequence similarity 220 member A,1.05,1.66E-08,8.19E-10
22949,PTGR1,prostaglandin reductase 1,3.4,1.66E-08,8.80E-10
440993,LINC00969,long intergenic non-protein coding RNA 969,2.88,1.69E-08,9.41E-10
6596,HLTF,helicase like transcription factor,1.01,1.71E-08,1.00E-09
593,BCKDHA,"branched chain keto acid dehydrogenase E1, alpha polypeptide",1.01,1.76E-08,1.07E-09
51088,KLHL5,kelch like family member 5,1.03,1.89E-08,1.13E-09
91749,MFSD4B,major facilitator superfamily domain containing 4B,1.02,2.36E-08,1.22E-09
4725,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,1.19,2.56E-08,1.31E-09
2326,FMO1,flavin containing monooxygenase 1,1.08,2.64E-08,1.40E-09
8999,CDKL2,cyclin dependent kinase like 2,1.02,2.66E-08,1.49E-09
644186,SYCE3,synaptonemal complex central element protein 3,1.49,3.35E-08,1.61E-09
3136,HLA-H,"major histocompatibility complex, class I, H (pseudogene)",1.09,3.87E-08,1.75E-09
162394,SLFN5,schlafen family member 5,1.03,4.03E-08,1.89E-09
55825,PECR,peroxisomal trans-2-enoyl-CoA reductase,1.09,4.19E-08,2.04E-09
7318,UBA7,ubiquitin like modifier activating enzyme 7,1.01,4.25E-08,2.19E-09
339231,ARL16,ADP ribosylation factor like GTPase 16,1,4.26E-08,2.33E-09
115286,SLC25A26,solute carrier family 25 member 26,1.1,5.06E-08,2.51E-09
57730,ANKRD36B,ankyrin repeat domain 36B,1.02,5.16E-08,2.68E-09
10819,OR7E14P,olfactory receptor family 7 subfamily E member 14 pseudogene,2.14,5.32E-08,2.87E-09
55018,LINC00483,long intergenic non-protein coding RNA 483,1.01,5.55E-08,3.05E-09
22875,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,1.11,7.04E-08,3.30E-09
115209,OMA1,OMA1 zinc metallopeptidase,1.01,8.06E-08,3.57E-09
79912,PYROXD1,pyridine nucleotide-disulphide oxidoreductase domain 1,1.02,8.50E-08,3.86E-09
5816,PVALB,parvalbumin,1.58,8.64E-08,4.15E-09
22932,POMZP3,POM121 and ZP3 fusion,2.14,9.02E-08,4.45E-09
189,AGXT,alanine-glyoxylate aminotransferase,1.1,9.28E-08,4.76E-09
1767,DNAH5,dynein axonemal heavy chain 5,1.03,9.41E-08,5.08E-09
79846,CFAP69,cilia and flagella associated protein 69,1.02,9.51E-08,5.39E-09
29062,WDR91,WD repeat domain 91,1,9.93E-08,5.72E-09
127077,OR2T11,olfactory receptor family 2 subfamily T member 11 (gene/pseudogene),1.48,1.07E-07,6.07E-09
5190,PEX6,peroxisomal biogenesis factor 6,1.02,1.09E-07,6.42E-09
6160,RPL31,ribosomal protein L31,1.94,1.12E-07,6.78E-09
146556,C16ORF89,chromosome 16 open reading frame 89,1.27,1.22E-07,7.18E-09
84868,HAVCR2,hepatitis A virus cellular receptor 2,1.27,1.26E-07,7.58E-09
100874150,LINC00379,long intergenic non-protein coding RNA 379,1.89,1.42E-07,8.04E-09
2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,1,1.47E-07,8.51E-09
10102,TSFM,"Ts translation elongation factor, mitochondrial",1.01,1.51E-07,8.99E-09
123207,C15ORF40,chromosome 15 open reading frame 40,1.05,1.56E-07,9.49E-09
84245,MRI1,methylthioribose-1-phosphate isomerase 1,1.01,1.64E-07,1.00E-08
89944,GLB1L2,galactosidase beta 1 like 2,2.08,1.91E-07,1.06E-08
4814,NINJ1,ninjurin 1,2.29,1.94E-07,1.12E-08
55437,STRADB,STE20-related kinase adaptor beta,1.01,1.97E-07,1.18E-08
2512,FTL,ferritin light chain,1.02,2.10E-07,1.25E-08
140597,TCEAL2,transcription elongation factor A like 2,1.16,2.18E-07,1.32E-08
439921,MXRA7,matrix remodeling associated 7,1.92,2.27E-07,1.39E-08
3119,HLA-DQB1,"major histocompatibility complex, class II, DQ beta 1",1.97,2.43E-07,1.46E-08
4677,NARS,asparaginyl-tRNA synthetase,1.05,2.44E-07,1.54E-08
63928,CHP2,calcineurin like EF-hand protein 2,1.06,2.45E-07,1.61E-08
254295,PHYHD1,phytanoyl-CoA dioxygenase domain containing 1,1.49,2.79E-07,1.70E-08
51293,CD320,CD320 molecule,1.39,2.85E-07,1.78E-08
100131827,ZNF717,zinc finger protein 717,1.18,3.01E-07,1.88E-08
79644,SRD5A3,steroid 5 alpha-reductase 3,1.37,3.15E-07,1.97E-08
84912,SLC35B4,solute carrier family 35 member B4,2.01,3.33E-07,2.07E-08
64425,POLR1E,RNA polymerase I subunit E,1.03,3.35E-07,2.17E-08
3117,HLA-DQA1,"major histocompatibility complex, class II, DQ alpha 1",1.96,4.01E-07,2.29E-08
54675,CRLS1,cardiolipin synthase 1,1.16,4.07E-07,2.41E-08
26289,AK5,adenylate kinase 5,1.94,4.07E-07,2.54E-08
161823,ADAL,adenosine deaminase like,1,4.27E-07,2.66E-08
7678,ZNF124,zinc finger protein 124,2.06,4.52E-07,2.80E-08
9452,ITM2A,integral membrane protein 2A,1.28,4.65E-07,2.93E-08
25793,FBXO7,F-box protein 7,1.03,4.72E-07,3.07E-08
55540,IL17RB,interleukin 17 receptor B,1.66,4.83E-07,3.21E-08
143570,XRRA1,X-ray radiation resistance associated 1,1.01,5.04E-07,3.36E-08
23408,SIRT5,sirtuin 5,1,5.26E-07,3.51E-08
23324,MAN2B2,mannosidase alpha class 2B member 2,1.03,5.27E-07,3.66E-08
5439,POLR2J,RNA polymerase II subunit J,1.13,5.32E-07,3.82E-08
10412,NSA2,"NSA2, ribosome biogenesis homolog",1.01,5.35E-07,3.97E-08
134147,CMBL,carboxymethylenebutenolidase homolog,1.03,5.43E-07,4.12E-08
80700,UBXN6,UBX domain protein 6,1.08,5.55E-07,4.28E-08
26503,SLC17A5,solute carrier family 17 member 5,1.07,5.70E-07,4.44E-08
