Gene_Name	LoF_FDR_ExAC
ABHD15	0.6056214
ABHD16A	0.002137386
ABHD16B	0.6331759
ABHD2	0.04430938
ABHD3	0.7473546
ABHD4	0.1765283
ABHD5	0.09961183
ABHD6	0.3903256
ABHD8	0.1456301
ABI1	0.01822227
ABI2	0.0152538
ABI3	0.2425094
ABI3BP	0.00272036
ABL1	7.06372E-07
ABL2	0.000475106
ABLIM1	0.000189813
ABLIM2	1.41377E-05
ABLIM3	0.000450706
ABP1	0.7728014
ABR	2.11029E-05
ABRA	0.4465514
ABRACL	0.4229703
ABT1	0.6955023
ABTB1	0.1278159
ABTB2	0.02590459
AC003101.1	0.699039
AC004076.9	0.8199521
AC004381.6	0.3449239
AC004466.1	0.9714595
AC004899.1	0.9964455
AC005358.1	0.000142477
AC005609.1	0.9059304
AC006435.1	0.9241087
AC007040.11	0.9757066
AC007390.5	N/A
AC010327.2	0.7768452
AC010336.1	0.9335882
AC010441.1	0.9900826
AC011484.1	0.9379594
AC011997.1	N/A
AC012123.1	0.6963076
AC012493.2	0.5896632
AC013449.1	0.6645264
AC015989.2	0.940533
AC018470.1	0.8189107
AC018816.3	N/A
AC018867.2	0.8567088
AC020922.1	0.8277625
AC022400.2	0.4604065
AC022532.1	0.704902
AC026703.1	0.4893203
AC040160.1	N/A
AC074212.3	0.6819443
AC079210.1	0.8897821
AC087645.1	0.2603671
AC093157.1	0.6663238
AC103809.2	0.7667854
AC106876.2	N/A
AC110615.1	0.9327238
AC114494.1	0.9250822
AC129492.6	0.1220923
ACAA1	0.7291258
ACAA2	0.08152633
ACACA	3.01356E-10
ACACB	0.07379328
ACAD10	0.548904
ACAD11	0.05385977
ACAD8	0.2425549
ACAD9	0.150794
ACADL	0.7443202
ACADM	0.7701211
ACADS	0.5464991
ACADSB	0.7671154
ACADVL	0.4614456
ACAN	1.24165E-10
ACAP1	0.01143625
ACAP2	1.63539E-05
ACAP3	0.1086345
ACAT1	0.3388085
ACAT2	0.7056057
ACBD3	0.008758767
ACBD4	0.4173274
ACBD5	0.02869752
ACBD6	0.09837163
ACBD7	0.4871582
ACCS	0.2118399
ACCSL	0.7578213
ACD	0.5372744
ACE	0.3999729
ACE2	8.83423E-05
ACER1	0.1258029
ACER2	0.1293847
ACER3	0.07407759
ACHE	0.000380211
ACIN1	1.27252E-10
ACLY	6.46944E-05
ACMSD	0.6564266
ACN9	0.6955023
ACO1	0.06527307
ACO2	0.02971635
ACOT1	0.9646018
ACOT11	0.5750668
ACOT12	0.7108438
ACOT13	0.9850334
ACOT2	0.4713316
ACOT4	0.9971849
ACOT6	0.9014815
ACOT7	0.1802156
ACOT8	0.3747932
ACOT9	0.6873256
ACOX1	0.03352981
ACOX2	0.6373256
ACOX3	0.6879303
ACOXL	0.9279321
ACP1	0.5879075
ACP2	0.5303394
ACP5	0.2115019
ACP6	0.7155992
ACPL2	0.07223023
ACPP	0.4368036
ACPT	0.9865862
ACR	0.3914646
ACRBP	0.5348068
ACRC	0.001690454
ACRV1	0.6739583
ACSBG1	0.05904217
ACSBG2	0.1203596
ACSF2	0.02615
ACSF3	0.9253305
ACSL1	0.002399363
ACSL3	0.000522144
ACSL4	0.000858788
ACSL5	0.01028461
ACSL6	0.01013029
ACSM1	0.3527718
ACSM2A	0.371282
ACSM2B	0.4431777
ACSM3	0.3098891
ACSM4	0.6123787
ACSM5	0.3612499
ACSS1	0.3308371
ACSS2	0.8540175
ACSS3	0.7339378
ACTA1	0.9844137
ACTA2	0.2854572
ACTB	0.1190975
ACTBL2	0.9494385
ACTC1	0.2204694
ACTG1	0.09253255
ACTG2	0.3306729
ACTL10	0.9686021
ACTL6A	0.009153815
ACTL6B	0.01729234
ACTL7A	0.6642738
ACTL7B	0.9621354
ACTL8	0.284914
ACTL9	0.5028646
ACTN1	8.79495E-06
ACTN2	4.08547E-06
ACTN4	5.75355E-06
ACTR10	0.1730121
ACTR1A	0.07013467
ACTR1B	0.1001695
ACTR2	0.03920564
ACTR3	0.00482295
ACTR3B	0.01112738
ACTR3C	0.9704873
ACTR5	0.9884993
ACTR6	0.3351979
ACTR8	0.3646063
ACTRT1	0.3853599
ACTRT2	0.5413466
ACTRT3	0.8688717
ACVR1	0.010641
ACVR1B	0.001069811
ACVR1C	0.04306878
ACVR2A	0.002545193
ACVR2B	0.00171848
ACVRL1	0.3941603
ACY1	0.5471998
ACY3	0.9431857
ACYP1	0.5574732
ACYP2	0.8960032
ADA	0.8562433
ADAD1	0.000142477
ADAD2	0.08990932
ADAL	0.9944385
ADAM10	2.66899E-05
ADAM11	0.08872263
ADAM12	0.000556537
ADAM15	0.39866
ADAM17	7.42322E-05
ADAM18	0.8452618
ADAM19	0.1047476
ADAM2	0.443719
ADAM20	0.5572053
ADAM21	0.225919
ADAM22	3.82724E-05
ADAM23	0.000805761
ADAM28	0.6707347
ADAM29	0.3341449
ADAM30	0.0229045
ADAM32	0.1470438
ADAM33	0.9042206
ADAM7	0.4046369
ADAM8	0.2385472
ADAM9	0.000747091
ADAMDEC1	0.5660313
ADAMTS1	0.00507676
ADAMTS10	0.003871061
ADAMTS12	0.02838014
ADAMTS13	0.4302379
ADAMTS14	0.001914495
ADAMTS15	0.002734002
ADAMTS16	0.000316893
ADAMTS17	0.1126555
ADAMTS18	0.000222806
ADAMTS19	0.000525233
ADAMTS2	0.000163647
ADAMTS20	0.01884028
ADAMTS3	0.001046167
ADAMTS4	0.04745098
ADAMTS5	0.03758378
ADAMTS6	5.98632E-06
ADAMTS7	0.009433067
ADAMTS8	0.8706789
ADAMTS9	3.26183E-07
ADAMTSL1	6.0754E-07
ADAMTSL2	0.4327665
ADAMTSL3	8.51496E-05
ADAMTSL4	0.3663363
ADAMTSL5	0.9113271
ADAP1	0.01094975
ADAP2	0.6509019
ADAR	0.00021746
ADARB1	0.05768697
ADARB2	0.04508151
ADAT1	0.2851755
ADAT2	0.9904555
ADAT3	0.9655333
ADC	0.1330976
ADCK1	0.665232
ADCK2	0.4886829
ADCK3	0.151292
ADCK4	0.6858104
ADCK5	0.01899828
ADCY1	0.000665984
ADCY10	0.4495107
ADCY2	8.27494E-06
ADCY3	0.02269717
ADCY4	0.7589388
ADCY5	0.01000409
ADCY6	0.009679423
ADCY7	0.0142172
ADCY8	0.02231291
ADCY9	0.000145223
ADCYAP1	0.7178291
ADCYAP1R1	0.1248627
ADD1	0.004416151
ADD2	1.99144E-05
ADD3	1.50592E-05
ADH1A	0.9518219
ADH1B	0.2158416
ADH4	0.6855916
ADH5	0.9144975
ADH6	0.4019957
ADH7	0.881002
ADHFE1	0.1941194
ADI1	0.739649
ADIG	N/A
ADIPOQ	0.9786458
ADIPOR1	0.2495705
ADIPOR2	0.07214866
ADK	0.1054066
ADM	0.2536712
ADM2	0.5135259
ADNP	4.34769E-08
ADNP2	0.001077836
ADO	0.170783
ADORA1	0.790759
ADORA2A	0.2158247
ADORA2B	0.9024749
ADORA3	0.2408803
ADPGK	0.2736122
ADPRH	0.7384325
ADPRHL1	0.7976182
ADPRHL2	0.8706789
ADPRM	0.3584432
ADRA1A	0.9655333
ADRA1B	0.6163914
ADRA1D	N/A
ADRA2A	N/A
ADRA2B	0.6990704
ADRA2C	0.4114374
ADRB1	N/A
ADRB2	0.2228455
ADRB3	0.6457696
ADRBK1	0.001023291
ADRBK2	0.01037724
ADRM1	0.003871981
ADSL	0.2421974
ADSS	0.09481053
ADSSL1	0.1753274
ADTRP	0.5290577
AEBP1	0.008687492
AEBP2	0.1379528
AEN	0.8955075
AES	0.2518878
AF196779.12	0.1094778
AFAP1	0.000472822
AFAP1L1	0.09182089
AFAP1L2	0.001073495
AFF1	6.49152E-07
AFF2	5.95412E-06
AFF3	5.70407E-06
AFF4	2.97246E-09
AFG3L2	0.03575994
AFM	0.5598867
AFMID	0.1865863
AFP	0.02878881
AFTPH	1.77483E-06
AGA	0.4269914
AGAP1	2.42283E-06
AGAP2	0.00936838
AGAP2-AS1	0.7571095
AGAP3	0.002070546
AGAP4	N/A
AGAP5	N/A
AGAP6	N/A
AGAP7	N/A
AGAP8	N/A
AGAP9	N/A
AGBL1	0.1742898
AGBL2	0.1392671
AGBL3	N/A
AGBL4	0.8363384
AGBL5	0.001681385
AGER	0.8315787
AGFG1	0.001198563
AGFG2	0.5590323
AGGF1	0.05087567
AGK	0.2596618
AGL	0.000520365
AGMAT	0.8095545
AGMO	0.01410714
AGPAT1	0.03697478
AGPAT2	0.7266094
AGPAT3	0.004134373
AGPAT4	0.06454407
AGPAT5	0.03493471
AGPAT6	0.1046562
AGPAT9	0.4628347
AGPHD1	0.4747659
AGPS	0.009032866
AGR2	0.2456479
AGR3	0.9987461
AGRN	4.90286E-06
AGRP	0.554289
AGT	0.9243059
AGTPBP1	4.75742E-05
AGTR1	0.4065104
AGTR2	0.6474439
AGTRAP	0.446464
AGXT	0.1737303
AGXT2	0.8199521
AGXT2L1	0.3081849
AGXT2L2	0.9483577
AHCTF1	4.82686E-18
AHCY	0.01429487
AHCYL1	0.001144849
AHCYL2	0.09168701
AHDC1	3.45857E-06
AHI1	0.03004926
AHNAK	1.32943E-10
AHNAK2	N/A
AHR	5.33243E-10
AHRR	0.2716579
AHSA1	0.04712412
AHSA2	0.8052466
AHSG	0.9720143
AHSP	0.7169386
AICDA	0.7585418
AIDA	0.4446822
AIF1	0.6187493
AIF1L	0.6418969
AIFM1	0.006003714
AIFM2	0.9098465
AIFM3	0.8659882
AIG1	0.8968329
AIM1	0.3213788
AIM1L	0.5667224
AIM2	0.9615206
AIMP1	0.4861552
AIMP2	0.5330495
AIP	0.03734259
AIPL1	0.5378023
AIRE	0.5050749
AJAP1	0.004206874
AJUBA	0.1730105
AK1	0.1533288
AK2	0.438909
AK3	0.5840424
AK4	0.6759819
AK5	0.01933275
AK6	N/A
AK7	0.1023265
AK8	0.8026971
AKAP1	0.001302247
AKAP10	0.000342052
AKAP11	1.02436E-08
AKAP12	0.000130186
AKAP13	6.03472E-16
AKAP14	0.1728386
AKAP17A	0.006942131
AKAP2	0.000145915
AKAP3	0.05257375
AKAP4	0.00024357
AKAP5	0.02077206
AKAP6	2.40504E-15
AKAP7	0.302425
AKAP8	0.000176974
AKAP8L	0.0349911
AKAP9	1.63E-21
AKD1	0.2812227
AKIP1	0.9053374
AKIRIN1	0.3510696
AKIRIN2	0.0369621
AKNA	3.25329E-05
AKNAD1	0.7430226
AKR1A1	0.4757782
AKR1B1	0.7985814
AKR1B10	0.7318286
AKR1B15	1
AKR1C1	0.7222764
AKR1C2	0.3254384
AKR1C3	0.5704622
AKR1C4	0.6458438
AKR1D1	0.7750281
AKR1E2	0.6574264
AKR7A2	0.9711673
AKR7A3	0.999518
AKR7L	0.8802554
AKT1	0.01525845
AKT1S1	0.2052099
AKT2	0.002125252
AKT3	0.000689478
AKTIP	0.1103886
AL031666.2	0.7033501
AL133373.1	0.5784459
AL133481.1	N/A
AL138764.1	0.9014815
AL163636.6	0.9276671
AL359736.1	N/A
AL441883.1	0.9057561
AL445989.1	0.8872186
AL583828.1	0.9792945
AL592284.1	N/A
AL627171.2	0.939614
ALAD	0.133313
ALAS1	0.000605342
ALAS2	0.006652618
ALB	3.06527E-05
ALCAM	0.000254574
ALDH16A1	0.08735568
ALDH18A1	0.001054641
ALDH1A1	0.000817632
ALDH1A2	0.02116796
ALDH1A3	0.03574163
ALDH1B1	0.461653
ALDH1L1	0.06490084
ALDH1L2	0.4627881
ALDH2	0.8420015
ALDH3A1	0.9946751
ALDH3A2	0.1923956
ALDH3B1	0.60057
ALDH3B2	0.5674617
ALDH4A1	0.1557379
ALDH5A1	0.4224422
ALDH6A1	0.1611431
ALDH7A1	0.6858104
ALDH8A1	0.7535715
ALDH9A1	0.2402491
ALDOA	0.1462776
ALDOB	0.1071974
ALDOC	0.04086274
ALG1	0.7684649
ALG10	0.3416053
ALG10B	0.4919692
ALG11	0.529907
ALG12	0.1221873
ALG13	1.07691E-05
ALG14	0.6890217
ALG1L	0.9510196
ALG2	0.2562692
ALG3	0.506526
ALG5	0.1112683
ALG6	0.07141969
ALG8	0.1107173
ALG9	0.2324892
ALK	6.5852E-07
ALKBH1	0.6072125
ALKBH2	0.7878883
ALKBH3	0.4290458
ALKBH4	0.1754576
ALKBH5	0.234634
ALKBH6	0.5836547
ALKBH7	0.9674586
ALKBH8	0.3419542
ALLC	0.8539905
ALMS1	0.000537739
ALOX12	0.8359787
ALOX12B	0.05889926
ALOX15	0.9859786
ALOX15B	0.8523751
ALOX5	0.03839124
ALOX5AP	0.1329885
ALOXE3	0.8201894
ALPI	0.9987362
ALPK1	0.03239414
ALPK2	0.08934242
ALPK3	0.05024318
ALPL	0.3353907
ALPP	0.928188
ALPPL2	0.8786091
ALS2	7.42091E-06
ALS2CL	0.7422828
ALS2CR11	0.8857904
ALS2CR12	0.6387761
ALS2CR8	0.06379622
ALX1	0.05352852
ALX3	0.3964207
ALX4	0.1152322
ALYREF	0.1545892
AMACR	0.2364088
AMBN	0.3818651
AMBP	0.8383166
AMBRA1	1.93329E-07
AMD1	0.08838137
AMDHD1	0.8593409
AMDHD2	0.7920792
AMELX	0.3089691
AMELY	0.9645441
AMFR	0.4068565
AMH	0.8523977
AMHR2	0.1368313
AMICA1	0.3135823
AMIGO1	0.06977768
AMIGO2	0.1181421
AMIGO3	0.9922635
AMMECR1	0.09907148
AMMECR1L	0.001300913
AMN	0.5999699
AMN1	0.5671597
AMOT	0.000362481
AMOTL1	0.000122073
AMOTL2	0.00053682
AMPD1	0.4155351
AMPD2	0.1572702
AMPD3	0.4027541
AMPH	0.004807102
AMT	0.52729
AMTN	0.8905811
AMY1A	N/A
AMY1B	N/A
AMY1C	N/A
AMY2A	0.910942
AMY2B	0.5424915
AMZ1	0.9781242
AMZ2	0.8851469
ANAPC1	N/A
ANAPC10	0.4119573
ANAPC11	0.3018542
ANAPC13	0.8192612
ANAPC15	0.3807155
ANAPC16	0.7291258
ANAPC2	0.000961178
ANAPC4	0.003580346
ANAPC5	0.4536248
ANAPC7	0.000426268
ANG	0.4789982
ANGEL1	0.4383511
ANGEL2	0.005803822
ANGPT1	0.000367247
ANGPT2	0.000858788
ANGPT4	0.9036758
ANGPTL1	0.7544922
ANGPTL2	0.07453692
ANGPTL3	0.265797
ANGPTL4	0.9563016
ANGPTL5	0.8207735
ANGPTL6	0.9997015
ANGPTL7	0.8602305
ANHX	N/A
ANK1	9.17571E-16
ANK2	1.2722E-26
ANK3	5.96343E-26
ANKAR	0.7903439
ANKDD1A	0.9265717
ANKDD1B	N/A
ANKFN1	0.06635609
ANKFY1	8.60888E-05
ANKH	0.2810856
ANKHD1	1.84913E-15
ANKHD1-EIF4EBP3	1.84913E-15
ANKIB1	1.0376E-06
ANKK1	0.6657375
ANKLE1	0.9931494
ANKLE2	0.2003468
ANKMY1	0.7107701
ANKMY2	0.05257375
ANKRA2	0.3594346
ANKRD1	0.4553746
ANKRD10	0.3058047
ANKRD11	1.77235E-14
ANKRD12	2.64803E-16
ANKRD13A	0.005633478
ANKRD13B	0.06206566
ANKRD13C	0.00015
ANKRD13D	0.002074159
ANKRD16	0.7970895
ANKRD17	5.54064E-13
ANKRD18A	0.6465109
ANKRD18B	0.3089691
ANKRD2	0.8628159
ANKRD20A1	N/A
ANKRD20A2	N/A
ANKRD20A3	N/A
ANKRD20A4	0.9061735
ANKRD22	0.7709233
ANKRD23	1
ANKRD24	0.2260273
ANKRD26	0.006320413
ANKRD27	0.4837288
ANKRD28	4.71417E-08
ANKRD29	0.7887105
ANKRD30A	0.2100735
ANKRD30B	0.1558118
ANKRD31	N/A
ANKRD32	0.06798667
ANKRD33	0.9868698
ANKRD33B	N/A
ANKRD34A	0.02406998
ANKRD34B	0.9676401
ANKRD34C	N/A
ANKRD35	0.4160842
ANKRD36	0.8774912
ANKRD37	0.7580894
ANKRD39	0.4148208
ANKRD40	0.06598419
ANKRD42	0.7606563
ANKRD44	0.02426018
ANKRD45	0.3528522
ANKRD46	0.03306217
ANKRD49	0.3333574
ANKRD5	0.5894186
ANKRD50	2.61651E-07
ANKRD52	4.42589E-06
ANKRD53	0.6749161
ANKRD54	0.77841
ANKRD55	0.4075643
ANKRD6	0.1619203
ANKRD61	N/A
ANKRD62	0.6265507
ANKRD65	N/A
ANKRD66	N/A
ANKRD7	0.4218447
ANKRD9	0.9057561
ANKS1A	0.002996461
ANKS1B	5.85125E-06
ANKS3	0.00047845
ANKS4B	0.9035993
ANKS6	0.2059101
ANKZF1	0.4421657
ANLN	4.1934E-07
ANO1	0.000104722
ANO10	0.2849176
ANO2	0.338831
ANO3	0.4841477
ANO4	0.000399446
ANO5	0.1768561
ANO6	0.7251784
ANO7	0.9847498
ANO8	0.007224669
ANO9	0.6930523
ANP32A	0.04541999
ANP32B	0.02269036
ANP32D	0.4641873
ANP32E	0.006519924
ANPEP	0.009529675
ANTXR1	0.000933891
ANTXR2	0.008394609
ANTXRL	0.5882812
ANXA1	0.2640851
ANXA10	0.3303998
ANXA11	0.1920858
ANXA13	0.06646573
ANXA2	0.1660373
ANXA2R	0.9987362
ANXA3	0.7302825
ANXA4	0.3118348
ANXA5	0.5672093
ANXA6	0.04738801
ANXA7	0.1775528
ANXA8	N/A
ANXA8L1	N/A
ANXA8L2	0.9655333
ANXA9	0.9042356
AOAH	0.7067837
AOC2	0.2514244
AOC3	0.7414581
AOX1	0.3330074
AP000349.1	0.8823934
AP000350.4	0.468597
AP000695.1	0.5337307
AP000721.4	0.8180564
AP000867.1	0.7793988
AP000889.3	0.8976879
AP1AR	0.04844085
AP1B1	0.001296369
AP1G1	1.19767E-07
AP1G2	0.4984396
AP1M1	0.1012383
AP1M2	0.2117844
AP1S1	0.2527283
AP1S2	0.4244052
AP1S3	0.2802456
AP2A1	0.000479469
AP2A2	3.02255E-05
AP2B1	0.0016162
AP2M1	0.1419452
AP2S1	0.3430757
AP3B1	3.7921E-07
AP3B2	0.000702761
AP3D1	0.000165187
AP3M1	0.02792869
AP3M2	0.6316318
AP3S1	0.8557246
AP3S2	0.6047835
AP4B1	0.2108913
AP4E1	4.44895E-07
AP4M1	0.5858358
AP4S1	0.8688569
AP5B1	0.3311788
AP5M1	0.1301111
AP5S1	0.8826855
AP5Z1	N/A
APAF1	0.003116978
APBA1	0.016836
APBA2	0.04568845
APBA3	0.8268954
APBB1	0.000516076
APBB1IP	0.07794245
APBB2	0.009829048
APBB3	0.4075643
APC	1.11368E-22
APC2	4.0933E-07
APCDD1	0.4055605
APCDD1L	0.4089911
APCS	0.2731826
APEH	0.04780819
APEX1	0.2989857
APEX2	0.01874682
APH1A	0.6029745
APH1B	0.4034966
API5	0.000144363
APIP	0.9926188
APITD1	0.2980693
APITD1-CORT	0.2980693
APLF	0.9996283
APLN	0.7108438
APLNR	0.1031752
APLP1	0.006195995
APLP2	0.000946983
APMAP	0.5488884
APOA1	0.6213893
APOA1BP	0.9603116
APOA2	0.8952915
APOA4	0.4823568
APOA5	0.9648015
APOB	9.17345E-09
APOBEC1	0.8219745
APOBEC2	0.2167618
APOBEC3A	0.5092072
APOBEC3B	0.8840006
APOBEC3C	0.1951322
APOBEC3D	0.4245809
APOBEC3F	0.1239086
APOBEC3G	0.5624862
APOBEC3H	0.0682555
APOBEC4	0.7658379
APOBR	0.2062366
APOC1	0.8564242
APOC2	0.6324583
APOC3	0.7463592
APOC4	0.9212667
APOD	0.8146713
APOE	0.768868
APOF	0.1468726
APOH	0.9136211
APOL1	0.699039
APOL2	0.3796094
APOL3	0.5597284
APOL4	0.5865773
APOL5	0.7535715
APOL6	0.731913
APOLD1	0.9894456
APOM	0.710382
APOO	0.01496149
APOOL	0.01208371
APOPT1	0.8424444
APP	0.001250193
APPBP2	0.000473227
APPL1	0.001175739
APPL2	0.4236413
APRT	0.9875185
APTX	0.3576097
AQP1	0.5179008
AQP10	0.8498387
AQP11	0.5674617
AQP12A	0.5445874
AQP12B	0.64613
AQP2	0.9662593
AQP3	0.08507157
AQP4	0.3005727
AQP5	0.8824345
AQP6	0.2647959
AQP7	0.9944388
AQP8	0.6117739
AQP9	0.01391152
AQPEP	0.2333634
AQR	5.24802E-10
AR	0.000329294
ARAF	0.04104887
ARAP1	0.02013449
ARAP2	2.49346E-05
ARAP3	1.15969E-06
ARC	0.08131661
ARCN1	7.66742E-06
AREG	N/A
ARF1	0.4051046
ARF3	0.4365152
ARF4	0.1214839
ARF5	0.7225575
ARF6	0.608041
ARFGAP1	0.02118026
ARFGAP2	0.002983449
ARFGAP3	0.1698849
ARFGEF1	1.31974E-09
ARFGEF2	2.81601E-11
ARFIP1	0.3117496
ARFIP2	0.008716569
ARFRP1	0.2829055
ARG1	0.3416389
ARG2	0.01429449
ARGFX	0.542708
ARGLU1	0.02595251
ARHGAP1	0.08688011
ARHGAP10	0.2222707
ARHGAP11A	0.001646856
ARHGAP11B	0.8248741
ARHGAP12	0.002741963
ARHGAP15	0.1216173
ARHGAP17	2.52549E-05
ARHGAP18	0.05828075
ARHGAP19	0.5110893
ARHGAP19-SLIT1	0.42419
ARHGAP20	0.000409204
ARHGAP21	1.90931E-09
ARHGAP22	0.348769
ARHGAP23	N/A
ARHGAP24	0.002421102
ARHGAP25	0.005734541
ARHGAP26	0.000115302
ARHGAP27	0.3181473
ARHGAP28	0.02464727
ARHGAP29	1.91596E-10
ARHGAP30	3.95143E-06
ARHGAP31	1.32211E-08
ARHGAP32	1.71658E-08
ARHGAP33	0.000361951
ARHGAP35	1.37511E-08
ARHGAP36	0.00794195
ARHGAP39	0.1624205
ARHGAP4	8.21109E-05
ARHGAP44	5.08556E-06
ARHGAP5	7.4613E-07
ARHGAP6	0.001778123
ARHGAP8	N/A
ARHGAP9	0.5457871
ARHGDIA	0.1065713
ARHGDIB	0.714508
ARHGDIG	0.06914499
ARHGEF1	0.007111019
ARHGEF10	0.01645182
ARHGEF10L	0.001011138
ARHGEF11	6.95402E-10
ARHGEF12	7.67783E-10
ARHGEF15	0.03224969
ARHGEF16	0.9078596
ARHGEF17	1.22408E-07
ARHGEF18	0.002468147
ARHGEF19	0.6707347
ARHGEF2	3.22822E-06
ARHGEF25	0.2507926
ARHGEF26	0.02571155
ARHGEF3	0.000240321
ARHGEF33	N/A
ARHGEF35	0.8183088
ARHGEF37	0.9396819
ARHGEF38	0.4597005
ARHGEF4	0.04841076
ARHGEF40	9.95386E-06
ARHGEF5	N/A
ARHGEF6	2.99462E-05
ARHGEF7	0.005256851
ARHGEF9	0.01722072
ARID1A	5.83664E-12
ARID1B	2.05943E-06
ARID2	2.34456E-12
ARID3A	0.0670813
ARID3B	0.01280218
ARID3C	0.9478769
ARID4A	5.34311E-13
ARID4B	4.94536E-09
ARID5A	0.002643939
ARID5B	9.94111E-07
ARIH1	0.007435117
ARIH2	0.009887263
ARL1	0.4829745
ARL10	0.9299707
ARL11	0.9993496
ARL13A	0.5005951
ARL13B	0.2395426
ARL14	0.8513792
ARL14EP	0.4324734
ARL14EPL	N/A
ARL15	0.5702453
ARL16	0.6062899
ARL17A	N/A
ARL17B	N/A
ARL2	0.6071986
ARL2BP	0.7857769
ARL3	0.1259909
ARL4A	0.3286415
ARL4C	0.5961456
ARL4D	0.7232334
ARL5A	0.3507099
ARL5B	0.09895072
ARL5C	N/A
ARL6	0.4860693
ARL6IP1	0.5226477
ARL6IP4	0.3932424
ARL6IP5	0.4802118
ARL6IP6	0.4089911
ARL8A	0.4364377
ARL8B	0.3230109
ARL9	0.228875
ARMC1	0.02891644
ARMC10	0.5947373
ARMC12	0.1956187
ARMC2	0.3231051
ARMC3	0.1064309
ARMC4	0.8077935
ARMC5	0.0700369
ARMC6	0.5982382
ARMC7	0.8450183
ARMC8	3.43009E-05
ARMC9	0.5582473
ARMCX1	0.3210434
ARMCX2	0.125272
ARMCX3	0.7221299
ARMCX4	N/A
ARMCX5	0.04237681
ARMCX6	0.3904566
ARMS2	0.7935193
ARNT	0.000323593
ARNT2	0.002777261
ARNTL	0.003652587
ARNTL2	0.2941186
ARPC1A	0.0900646
ARPC1B	0.1872349
ARPC2	0.02291307
ARPC3	0.02114844
ARPC4	0.09110409
ARPC4-TTLL3	0.7997107
ARPC5	0.3069513
ARPC5L	0.2988993
ARPP19	0.6063735
ARPP21	0.00205377
ARR3	0.05264634
ARRB1	0.009676334
ARRB2	0.1091974
ARRDC1	0.4628347
ARRDC2	0.7327096
ARRDC3	0.00259837
ARRDC4	0.7228489
ARRDC5	0.9265258
ARSA	0.8374098
ARSB	0.3151682
ARSD	0.04430095
ARSE	0.1518998
ARSF	0.3801148
ARSG	0.7011665
ARSH	0.4593722
ARSI	0.8439371
ARSJ	0.1809425
ARSK	0.02740424
ART1	0.6745268
ART3	0.6766515
ART4	0.3053596
ART5	0.1368169
ARTN	0.7993322
ARV1	0.8974003
ARVCF	0.2429485
ARX	0.5103498
AS3MT	0.9533956
ASAH1	0.3588945
ASAH2	0.2408803
ASAH2B	0.8621011
ASAH2C	N/A
ASAP1	8.96695E-08
ASAP2	3.32449E-07
ASAP3	0.5068378
ASB1	0.2226146
ASB10	0.3960572
ASB11	0.06648218
ASB12	0.9451932
ASB13	0.2235123
ASB14	0.9568965
ASB15	0.4596197
ASB16	0.9402583
ASB17	0.3804856
ASB18	0.9539425
ASB2	0.5989848
ASB3	0.006377407
ASB4	0.1464206
ASB5	0.8595489
ASB6	0.5902941
ASB7	0.003042353
ASB8	0.4916334
ASB9	0.04881362
ASCC1	0.5359784
ASCC2	0.01531521
ASCC3	6.12981E-06
ASCL1	0.6080723
ASCL2	0.8575571
ASCL3	0.7669721
ASCL4	0.5686803
ASCL5	N/A
ASF1A	0.6708367
ASF1B	0.1192476
ASGR1	0.7435663
ASGR2	0.7647598
