OMIM disease genes	DESCRIPTION (Active links 12th February 2013)	OMIM disease genes	OMIM Recessive	OMIM Haploinsufficiency	OMIM Dominant Negative	OMIM de novo	OMIM de novo & Haploinsuficciency	MGI Lethality orthologs	MGI Seizure orthologs
AIFM1	"* 300169. APOPTOSIS-INDUCING FACTOR, MITOCHONDRION-ASSOCIATED, 1; AIFM1"	AIFM1							
AIMP1	* 603605. AMINOACYL-tRNA SYNTHETASE COMPLEX-INTERACTING MULTIFUNCTIONAL PROTEIN 1; AIMP1	AIMP1							
AIP	* 605555. ARYL HYDROCARBON RECEPTOR-INTERACTING PROTEIN; AIP	AIP							
AIPL1	* 604392. ARYLHYDROCARBON-INTERACTING RECEPTOR PROTEIN-LIKE 1; AIPL1	AIPL1	AIPL1						
AIRE	* 607358. AUTOIMMUNE REGULATOR; AIRE	AIRE			AIRE	AIRE			
AK1	* 103000. ADENYLATE KINASE 1; AK1	AK1							
AK2	* 103020. ADENYLATE KINASE 2; AK2	AK2							
AKAP9	* 604001. A-KINASE ANCHOR PROTEIN 9; AKAP9	AKAP9							
AKR1C2	"* 600450. ALDO-KETO REDUCTASE FAMILY 1, MEMBER C2; AKR1C2"	AKR1C2	AKR1C2						
AKR1C4	"* 600451. ALDO-KETO REDUCTASE FAMILY 1, MEMBER C4"		AKR1C4						
AKR1D1	"* 604741. ALDO-KETO REDUCTASE FAMILY 1, MEMBER D1; AKR1D1"	AKR1D1							
AKT1	* 164730. V-AKT MURINE THYMOMA VIRAL ONCOGENE HOMOLOG 1; AKT1				AKT1				
AKT2	* 164731. V-AKT MURINE THYMOMA VIRAL ONCOGENE HOMOLOG 2; AKT2	AKT2				AKT2			
AKT3	* 611223. V-AKT MURINE THYMOMA VIRAL ONCOGENE HOMOLOG 3; AKT3	AKT3				AKT3			
ALAD	* 125270. DELTA-AMINOLEVULINATE DEHYDRATASE; ALAD	ALAD	ALAD						
ALAS2	* 301300. DELTA-AMINOLEVULINATE SYNTHASE 2; ALAS2	ALAS2				ALAS2			
ALDH18A1	"* 138250. ALDEHYDE DEHYDROGENASE 18 FAMILY, MEMBER A1; ALDH18A1"	ALDH18A1	ALDH18A1						
ALDH3A2	"* 609523. ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 2; ALDH3A2"	ALDH3A2							
ALDH4A1	"* 606811. ALDEHYDE DEHYDROGENASE, FAMILY 4, SUBFAMILY A, MEMBER 1; ALDH4A1"	ALDH4A1							
ALDH5A1	"* 610045. ALDEHYDE DEHYDROGENASE 5 FAMILY, MEMBER A1; ALDH5A1"	ALDH5A1							
ALDH6A1	* 603178. METHYLMALONATE SEMIALDEHYDE DEHYDROGENASE; MMSDH	ALDH6A1							
ALDH7A1	"* 107323. ALDEHYDE DEHYDROGENASE 7 FAMILY, MEMBER A1; ALDH7A1"	ALDH7A1							
ALDOA	"* 103850. ALDOLASE A, FRUCTOSE-BISPHOSPHATE; ALDOA"	ALDOA							
ALDOB	"* 612724. ALDOLASE B, FRUCTOSE-BISPHOSPHATE; ALDOB"	ALDOB							
ALG1	"* 605907. ALG1, YEAST, HOMOLOG OF; ALG1"	ALG1							
ALG11	"* 613666. ALG11, S. CEREVISIAE, HOMOLOG OF; ALG11"	ALG11							
ALG12	"* 607144. ALG12, S. CEREVISIAE, HOMOLOG OF; ALG12"	ALG12							
ALG13	"* 300776. ALG13, S. CEREVISIAE, HOMOLOG OF; ALG13"	ALG13				ALG13		MP:0002080	
ALG3	"* 608750. ALG3, S. CEREVISIAE, HOMOLOG OF; ALG3"	ALG3							
ALG6	"* 604566. ALG6, S. CEREVISIAE, HOMOLOG OF; ALG6"	ALG6							
ALG9	"* 606941. ALG9, S. CEREVISIAE, HOMOLOG OF; ALG9"	ALG9							
ALK	* 105590. ANAPLASTIC LYMPHOMA KINASE; ALK					ALK			
ALMS1	* 606844. ALMS1 GENE; ALMS1	ALMS1	ALMS1						
ALOX12B	"* 603741. ARACHIDONATE 12-LIPOXYGENASE, R TYPE; ALOX12B"	ALOX12B	ALOX12B						
ALOXE3	* 607206. ARACHIDONATE LIPOXYGENASE 3; ALOXE3	ALOXE3	ALOXE3						
ALPL	"* 171760. ALKALINE PHOSPHATASE, LIVER; ALPL"	ALPL	ALPL		ALPL	ALPL			MP:0002064
ALX1	* 601527. ARISTALESS-LIKE HOMEOBOX 1; ALX1	ALX1	ALX1						
ALX3	* 606014. ARISTALESS-LIKE HOMEOBOX 3; ALX3	ALX3	ALX3						
ALX4	"* 605420. ARISTALESS-LIKE 4, MOUSE, HOMOLOG OF; ALX4"	ALX4		ALX4	ALX4				
AMACR	* 604489. ALPHA-METHYLACYL-CoA RACEMASE; AMACR	AMACR	AMACR						
AMELX	* 300391. AMELOGENIN; AMELX	AMELX	AMELX						
AMHR2	* 600956. ANTI-MULLERIAN HORMONE TYPE II RECEPTOR; AMHR2	AMHR2	AMHR2		AMHR2				
AMT	* 238310. AMINOMETHYLTRANSFERASE; AMT	AMT						MP:0002080	
ANG	* 105850. ANGIOGENIN; ANG	ANG							
ANGPTL3	* 604774. ANGIOPOIETIN-LIKE 3; ANGPTL3	ANGPTL3	ANGPTL3						
ANK1	* 612641. ANKYRIN 1; ANK1	ANK1	ANK1						
ANK2	* 106410. ANKYRIN 2; ANK2	ANK2		ANK2					
ANKH	"* 605145. ANK, MOUSE, HOMOLOG OF; ANKH"	ANKH	ANKH		ANKH				
ANKRD11	* 611192. ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 11; ANKRD11	ANKRD11				ANKRD11			
ANKRD26	* 610855. ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 26; ANKRD26	ANKRD26							
ANO10	* 613726. ANOCTAMIN 10; ANO10	ANO10	ANO10						
ANO5	* 608662. ANOCTAMIN 5; ANO5	ANO5	ANO5						
ANO6	* 608663. ANOCTAMIN 6; ANO6	ANO6							
ANTXR1	* 606410. ANTHRAX TOXIN RECEPTOR 1; ANTXR1				ANTXR1				
ANTXR2	* 608041. ANTHRAX TOXIN RECEPTOR 2; ANTXR2	ANTXR2							
AP1S2	"* 300629. ADAPTOR-RELATED PROTEIN COMPLEX 1, SIGMA-2 SUBUNIT; AP1S2"	AP1S2	AP1S2						
AP3B1	"* 603401. ADAPTOR-RELATED PROTEIN COMPLEX 3, BETA-1 SUBUNIT; AP3B1"	AP3B1	AP3B1						
AP3M2	Mouse Genome Informatics Database								MP:0002064
AP4B1	"* 607245. ADAPTOR-RELATED PROTEIN COMPLEX 4, BETA-1 SUBUNIT; AP4B1"	AP4B1	AP4B1						
AP4E1	"* 607244. ADAPTOR-RELATED PROTEIN COMPLEX 4, EPSILON-1 SUBUNIT; AP4E1"	AP4E1	AP4E1						
AP4M1	"* 602296. ADAPTOR-RELATED PROTEIN COMPLEX 4, MU-1 SUBUNIT; AP4M1"	AP4M1	AP4M1						
AP4S1	"* 607243. ADAPTOR-RELATED PROTEIN COMPLEX 4, SIGMA-1 SUBUNIT; AP4S1"	AP4S1	AP4S1						
AP5Z1	"* 613653. ADAPTOR-RELATED PROTEIN COMPLEX 5, ZETA-1 SUBUNIT"		AP5Z1						
APC	* 611731. APC GENE; APC	APC		APC	APC	APC	APC	MP:0002080	
APCDD1	"* 607479. APC, DOWNREGULATED BY, 1; APCDD1"	APCDD1			APCDD1				
APOA5	* 606368. APOLIPOPROTEIN A-V; APOA5	APOA5							
APOC2	* 608083. APOLIPOPROTEIN C-II; APOC2	APOC2							
APOC3	* 107720. APOLIPOPROTEIN C-III; APOC3	APOC3							
APOL1	* 603743. APOLIPOPROTEIN L-I		APOL1						
APP	* 104760. AMYLOID BETA A4 PRECURSOR PROTEIN; APP	APP	APP		APP	APP			
APRT	* 102600. ADENINE PHOSPHORIBOSYLTRANSFERASE; APRT	APRT							
APTX	* 606350. APRATAXIN; APTX	APTX							
AQP2	* 107777. AQUAPORIN 2; AQP2	AQP2	AQP2		AQP2				
AR	* 313700. ANDROGEN RECEPTOR; AR	AR	AR			AR			
ARFGEF2	* 605371. ADP-RIBOSYLATION FACTOR GUANINE NUCLEOTIDE EXCHANGE FACTOR 2; ARFGEF2	ARFGEF2	ARFGEF2		ARFGEF2				
ARG1	"* 608313. ARGINASE, LIVER; ARG1"	ARG1							
ARHGAP26	* 605370. RHO GTPase-ACTIVATING PROTEIN 26; ARHGAP26	ARHGAP26							
ARHGAP31	* 610911. RHO GTPase-ACTIVATING PROTEIN 31; ARHGAP31	ARHGAP31							
ARHGAP35	Mouse Genome Informatics Database							MP:0002081	
ARHGEF10	* 608136. RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 10; ARHGEF10	ARHGEF10							
ARHGEF6	* 300267. RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 6; ARHGEF6	ARHGEF6							
ARHGEF9	* 300429. RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 9; ARHGEF9	ARHGEF9				ARHGEF9			
ARID1A	* 603024. AT-RICH INTERACTION DOMAIN-CONTAINING PROTEIN 1A; ARID1A	ARID1A				ARID1A			
ARID1B	* 614556. AT-RICH INTERACTION DOMAIN-CONTAINING PROTEIN 1B; ARID1B	ARID1B		ARID1B		ARID1B	ARID1B		
ARL13B	* 608922. ADP-RIBOSYLATION FACTOR-LIKE 13B; ARL13B	ARL13B							
ARL6	* 608845. ADP-RIBOSYLATION FACTOR-LIKE 6; ARL6	ARL6	ARL6						
ARSA	* 607574. ARYLSULFATASE A; ARSA	ARSA							
ARSB	* 611542. ARYLSULFATASE B; ARSB	ARSB	ARSB						
ARSE	* 300180. ARYLSULFATASE E; ARSE	ARSE	ARSE						
ASAH1	* 613468. N-ACYLSPHINGOSINE AMIDOHYDROLASE 1; ASAH1	ASAH1							
ASL	* 608310. ARGININOSUCCINATE LYASE; ASL	ASL							
ASPA	* 608034. ASPARTOACYLASE; ASPA	ASPA							MP:0002064
ASPM	"* 605481. ABNORMAL SPINDLE-LIKE, MICROCEPHALY-ASSOCIATED; ASPM"	ASPM	ASPM						
ASS1	* 603470. ARGININOSUCCINATE SYNTHETASE 1; ASS1	ASS1							
ASXL1	* 612990. ADDITIONAL SEX COMBS-LIKE 1; ASXL1	ASXL1				ASXL1			
ATAD1	Mouse Genome Informatics Database								MP:0002064
ATCAY	Mouse Genome Informatics Database								MP:0002064
ATIC	* 601731. 5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE; ATIC	ATIC				ATIC			
ATL1	* 606439. ATLASTIN GTPase 1; ATL1	ATL1		ATL1	ATL1	ATL1	ATL1		
ATM	* 607585. ATAXIA-TELANGIECTASIA MUTATED GENE; ATM	ATM	ATM	ATM	ATM				
ATN1	* 607462. ATROPHIN 1; ATN1	ATN1							
ATOH7	"* 609875. ATONAL, DROSOPHILA, HOMOLOG OF, 7"		ATOH7						
ATOX1	Mouse Genome Informatics Database								MP:0002064
ATP13A2	"* 610513. ATPase, TYPE 13A2; ATP13A2"	ATP13A2	ATP13A2						
ATP1A2	"* 182340. ATPase, Na+/K+ TRANSPORTING, ALPHA-2 POLYPEPTIDE; ATP1A2"	ATP1A2		ATP1A2					
ATP1A3	"* 182350. ATPase, Na+/K+ TRANSPORTING, ALPHA-3 POLYPEPTIDE; ATP1A3"	ATP1A3				ATP1A3			
ATP2A1	"* 108730. ATPase, Ca(2+)-TRANSPORTING, FAST-TWITCH 1; ATP2A1"	ATP2A1	ATP2A1						
ATP2A2	"* 108740. ATPase, Ca(2+)-TRANSPORTING, SLOW-TWITCH; ATP2A2"	ATP2A2		ATP2A2		ATP2A2	ATP2A2		
ATP2B2	"* 108733. ATPase, Ca(2+)-TRANSPORTING, PLASMA MEMBRANE, 2"		ATP2B2						
ATP2C1	"* 604384. ATPase, Ca(2+)-TRANSPORTING, TYPE 2C, MEMBER 1; ATP2C1"	ATP2C1		ATP2C1					
ATP5E	"* 606153. ATP SYNTHASE, H+ TRANSPORTING, MITOCHONDRIAL F1 COMPLEX, EPSILON SUBUNIT; ATP5E"	ATP5E							
ATP6AP2	"* 300556. ATPase, H+ TRANSPORTING, LYSOSOMAL, ACCESSORY PROTEIN 2; ATP6AP2"	ATP6AP2							
ATP6V0A2	"* 611716. ATPase, H+ TRANSPORTING, LYSOSOMAL, V0 SUBUNIT A2; ATP6V0A2"	ATP6V0A2	ATP6V0A2						
ATP6V0A4	"* 605239. ATPase, H+ TRANSPORTING, LYSOSOMAL, V0 SUBUNIT A, ISOFORM 4; ATP6V0A4"	ATP6V0A4	ATP6V0A4						
ATP6V1B1	"* 192132. ATPase, H+ TRANSPORTING, LYSOSOMAL, 56/58-KD, V1 SUBUNIT B, ISOFORM 1"		ATP6V1B1						
ATP7A	"* 300011. ATPase, Cu(2+)-TRANSPORTING, ALPHA POLYPEPTIDE; ATP7A"	ATP7A	ATP7A		ATP7A			MP:0002080	
ATP7B	"* 606882. ATPase, Cu(2+)-TRANSPORTING, BETA POLYPEPTIDE; ATP7B"	ATP7B							
ATP8B1	"* 602397. ATPase, CLASS I, TYPE 8B, MEMBER 1; ATP8B1"	ATP8B1							
ATPAF2	"* 608918. ATP SYNTHASE, MITOCHONDRIAL F1 COMPLEX, ASSEMBLY FACTOR 2; ATPAF2"	ATPAF2							
ATR	* 601215. ATR GENE; ATR	ATR	ATR	ATR					
ATRN	Mouse Genome Informatics Database								MP:0002064
ATRX	* 300032. ATR-X GENE; ATRX	ATRX				ATRX			
ATXN1	* 601556. ATAXIN 1; ATXN1	ATXN1							
ATXN10	* 611150. ATAXIN 10; ATXN10	ATXN10		ATXN10					
ATXN2	* 601517. ATAXIN 2; ATXN2	ATXN2							
ATXN3	* 607047. ATAXIN 3; ATXN3	ATXN3							
ATXN7	* 607640. ATAXIN 7; ATXN7	ATXN7							
AUH	* 600529. AU-SPECIFIC RNA-BINDING PROTEIN; AUH	AUH	AUH						
AURKB	Mouse Genome Informatics Database							MP:0002080	
AURKC	* 603495. AURORA KINASE C		AURKC						
AVPR2	* 300538. ARGININE VASOPRESSIN RECEPTOR 2; AVPR2	AVPR2	AVPR2			AVPR2			
AXIN1	* 603816. AXIS INHIBITOR 1; AXIN1	AXIN1						MP:0002080	
AXIN2	* 604025. AXIS INHIBITOR 2; AXIN2					AXIN2			
B2M	* 109700. BETA-2-MICROGLOBULIN; B2M	B2M							
B3GALTL	"* 610308. UDP-GAL:BETA-GlcNAc BETA-1,3-GALACTOSYLTRANSFERASE-LIKE"		B3GALTL						
B3GAT3	"* 606374. BETA-1,3-GLUCURONYLTRANSFERASE 3; B3GAT3"	B3GAT3							
B4GALT1	"* 137060. UDP-GAL:BETA-GlcNAc BETA-1,4-GALACTOSYLTRANSFERASE, POLYPEPTIDE 1; B4GALT1"	B4GALT1							
B4GALT7	"* 604327. XYLOSYLPROTEIN 4-BETA-GALACTOSYLTRANSFERASE, POLYPEPTIDE 7; B4GALT7"	B4GALT7							
B9D1	* 614144. B9 DOMAIN-CONTAINING PROTEIN 1; B9D1	B9D1				B9D1			
B9D2	* 611951. B9 DOMAIN-CONTAINING PROTEIN 2; B9D2	B9D2							
BAAT	* 602938. BILE ACID CoA:AMINO ACID N-ACYLTRANSFERASE; BAAT	BAAT							
BAG3	* 603883. BCL2-ASSOCIATED ATHANOGENE 3; BAG3	BAG3							
BANF1	* 603811. BARRIER-TO-AUTOINTEGRATION FACTOR 1; BANF1	BANF1							
BAX	* 600040. BCL2-ASSOCIATED X PROTEIN; BAX	BAX	BAX						
BBS1	* 209901. BBS1 GENE; BBS1	BBS1	BBS1						
BBS10	* 610148. BBS10 GENE; BBS10	BBS10							
BBS12	* 610683. BBS12 GENE; BBS12	BBS12	BBS12						
BBS2	* 606151. BBS2 GENE; BBS2	BBS2	BBS2						
BBS4	* 600374. BBS4 GENE; BBS4	BBS4							
BBS5	* 603650. BBS5 GENE; BBS5	BBS5							
BBS7	* 607590. BBS7 GENE; BBS7	BBS7	BBS7						
BCAM	* 612773. BASAL CELL ADHESION MOLECULE		BCAM						
BCKDHA	"* 608348. BRANCHED-CHAIN KETO ACID DEHYDROGENASE E1, ALPHA POLYPEPTIDE; BCKDHA"	BCKDHA							
BCKDHB	"* 248611. BRANCHED-CHAIN KETO ACID DEHYDROGENASE E1, BETA POLYPEPTIDE; BCKDHB"	BCKDHB							
BCKDK	* 614901. BRANCHED-CHAIN ALPHA-KETO ACID DEHYDROGENASE KINASE; BCKDK	BCKDK							MP:0002064
BCMO1	"* 605748. BETA-CAROTENE 15,15-PRIME-MONOOXYGENASE 1; BCMO1"	BCMO1		BCMO1	BCMO1				
BCOR	* 300485. BCL6 COREPRESSOR; BCOR	BCOR				BCOR			
BCS1L	"* 603647. BCS1, S. CEREVISIAE, HOMOLOG-LIKE; BCS1L"	BCS1L	BCS1L						
BDNF	* 113505. BRAIN-DERIVED NEUROTROPHIC FACTOR; BDNF	BDNF	BDNF		BDNF				
BEST1	* 607854. BESTROPHIN 1; BEST1	BEST1	BEST1			BEST1			
BFSP1	* 603307. BEADED FILAMENT STRUCTURAL PROTEIN 1; BFSP1	BFSP1	BFSP1						
BFSP2	* 603212. BEADED FILAMENT STRUCTURAL PROTEIN 2; BFSP2	BFSP2							
BICC1	"* 614295. BICAUDAL C, DROSOPHILA, HOMOLOG OF, 1"		BICC1		BICC1				
BIN1	* 601248. BRIDGING INTEGRATOR 1; BIN1	BIN1	BIN1						
BLK	"* 191305. TYROSINE KINASE, B-LYMPHOCYTE SPECIFIC; BLK"	BLK							
BLM	* 604610. RECQ PROTEIN-LIKE 3; RECQL3	BLM						MP:0002080	
BLNK	* 604515. B-CELL LINKER PROTEIN; BLNK	BLNK				BLNK			
BLVRA	* 109750. BILIVERDIN REDUCTASE A; BLVRA	BLVRA							
BMP1	* 112264. BONE MORPHOGENETIC PROTEIN 1; BMP1	BMP1	BMP1						
BMP15	* 300247. BONE MORPHOGENETIC PROTEIN 15; BMP15	BMP15			BMP15				
BMP2	* 112261. BONE MORPHOGENETIC PROTEIN 2; BMP2	BMP2		BMP2		BMP2	BMP2		
BMP4	* 112262. BONE MORPHOGENETIC PROTEIN 4; BMP4	BMP4				BMP4			
