,Gene_Name,p-val,collapsing_rank
62,LRTOMT,1.0,63
63,ANKRD16,1.0,64
64,USF2,0.5106827589999999,65
65,TH,1.0,66
66,RETN,1.0,67
67,GNAT2,0.47669940200000005,68
68,SURF4,0.566764335,69
69,B4GALT2,0.079527395,70
70,EIF5A,0.546268549,71
71,OPN3,0.8151774209999999,72
72,TMEM5,0.462185749,73
73,ZNF142,0.23397023600000003,74
74,AGA,0.401574526,75
75,C5ORF24,1.0,76
76,PPP1R14C,1.0,77
77,TMBIM1,0.660464109,78
78,PDCD5,1.0,79
79,SUPT16H,0.075553938,80
80,FAM183A,0.016718563,81
81,AP1M2,0.855365478,82
82,IRS1,0.397655415,83
83,PCDP1,0.886132995,84
84,KMT2B,0.134976306,85
85,PDHB,1.0,86
86,EMR2,1.0,87
87,PRSS22,0.43195096200000005,88
88,PCBD1,0.504036212,89
89,TMEM211,1.0,90
90,C20ORF195,1.0,91
91,DKC1,0.578073005,92
92,ATP5D,0.72342791,93
93,ITM2C,0.177296368,94
94,NKD2,0.700178073,95
95,NHP2,0.552586664,96
96,TECRL,1.0,97
97,RRM2B,0.8328047209999999,98
98,CXCL12,0.315923096,99
99,RANBP6,0.415538788,100
100,PPAT,0.7816932329999999,101
101,TRIM38,1.0,102
102,FAM50B,1.0,103
103,GFRA1,0.40808024200000004,104
104,ADAMTS9,0.79364815,105
105,KHDRBS1,1.0,106
106,PCLO,0.195872,107
107,OR1A2,0.816163073,108
108,RBL2,0.303221345,109
109,AKNA,0.726307515,110
110,LSM5,1.0,111
111,WSB2,0.672095325,112
112,OR4S2,0.628579194,113
113,SUMO1,0.005474636,114
114,RCC2,0.46425969,115
115,LMBR1,0.530313532,116
116,TARBP2,0.819925789,117
117,OR10A4,0.234311198,118
118,TCF20,0.514347954,119
119,PI4K2B,0.434489525,120
120,CYP26A1,0.22144059800000002,121
121,UPK3A,0.8345844579999999,122
122,HOMER3,0.149260026,123
123,CTPS2,1.0,124
124,TBX22,0.8171605120000001,125
125,POU4F3,0.692287373,126
126,ROCK1,0.6560767279999999,127
127,RUVBL1,1.0,128
128,IFNA7,0.6455167239999999,129
129,RAD52,1.0,130
130,NUP50,0.816163073,131
131,CRYBA4,1.0,132
132,UVSSA,0.89723185,133
133,TTC14,0.6087029660000001,134
134,CSPP1,0.426435705,135
135,CAMSAP2,0.109910997,136
136,MYL7,0.824763482,137
137,HADHB,0.574202179,138
138,DMTN,0.116159631,139
139,RB1,0.258197467,140
140,MRPS22,0.854142618,141
141,FOXR2,0.163542389,142
142,DGKE,0.513859918,143
143,ST3GAL2,0.232856162,144
144,CCNB3,1.0,145
145,CNTNAP5,0.7397049640000001,146
146,TMEM18,1.0,147
147,ANKRD49,0.39676449399999997,148
148,ZNF35,1.0,149
149,CCDC88C,0.061422985,150
150,CCDC174,0.28005919100000004,151
151,ZNF426,0.875333053,152
152,IPO7,1.0,153
153,TIMP3,1.0,154
154,LSS,0.896579699,155
155,PPP2R4,0.6280486279999999,156
156,LYL1,0.699539923,157
157,UBL4B,0.405664875,158
158,CDON,0.48465051600000003,159
159,C22ORF43,0.523982597,160
160,GLG1,0.562593181,161
161,NOP58,1.0,162
162,SLMO2,0.590784523,163
163,ANKRD22,0.497024409,164
164,MTURN,1.0,165
165,PALD1,0.128102536,166
166,WBP5,1.0,167
167,WDR60,1.0,168
168,GATAD1,0.684327499,169
169,C1ORF168,0.693967555,170
170,SLC25A17,0.123143017,171
171,SPR,0.165225721,172
172,C10ORF128,0.41636862,173
173,CCDC144A,0.34608366799999996,174
174,ALDH3B2,0.2531984,175
175,LHX3,1.0,176
176,RPS2,0.274630891,177
177,PACSIN2,1.0,178
178,TRIB2,0.461360705,179
179,TNFAIP8L2,0.009943229,180
180,PSMA8,0.788359186,181
181,CCDC149,0.084342948,182
182,CRHR2,0.86136441,183
183,PCGF5,0.376854242,184
184,CNBD1,0.32656861800000003,185
185,OR5AN1,0.338077202,186
186,CCR7,0.06726926700000001,187
187,CD28,1.0,188
188,DFNB59,0.21745503800000002,189
189,AK5,0.344882085,190
190,TTC21A,0.579596625,191
191,C4ORF3,0.620174923,192
192,AQP4,1.0,193
193,AGAP5,0.513937601,194
194,ALOX15B,1.0,195
195,ELANE,0.452485501,196
196,MFSD1,0.08631955300000001,197
197,RHPN1,0.09484605,198
198,BTG4,0.506154559,199
199,CYP2U1,0.093774625,200
200,PRAC1,0.225636654,201
201,ARPC3,1.0,202
202,MARCH7,0.34663856200000004,203
203,RANBP1,0.043863597000000004,204
204,MSC,0.730935508,205
205,MYOM2,0.641098116,206
206,AVPR1A,0.632451057,207
207,C18ORF25,1.0,208
208,SMR3B,0.755969126,209
209,TMEM192,0.567687298,210
210,LCE3C,0.536649185,211
211,ST3GAL5,0.032923449,212
212,HBG2,1.0,213
213,C7ORF62,0.362254576,214
214,TNF,0.43478377100000004,215
215,COL12A1,0.383476215,216
216,MYO9B,0.638753595,217
217,HYAL1,0.56244615,218
218,SCRN1,0.719260425,219
219,STRBP,0.118125475,220
220,TTC26,0.595945655,221
221,HMHB1,0.5136390479999999,222
222,IGSF5,0.728837273,223
223,ATRNL1,0.067804797,224
224,ORC2,0.27418085600000003,225
225,COL20A1,0.9155110959999999,226
226,GPRIN2,0.49867935700000005,227
227,SLC9B2,0.40595471,228
228,RERE,0.190782295,229
229,FAM185A,1.0,230
230,SLC18A2,0.677360333,231
231,OR7D2,1.0,232
232,HSPA4,0.050180487999999995,233
233,FPR1,1.0,234
234,PIK3R4,0.331896643,235
235,SSTR4,0.121852835,236
236,IFNGR1,0.8432187059999999,237
237,OR10G4,0.250916458,238
238,BARX2,0.310375602,239
239,SSNA1,0.719259412,240
240,BRPF3,0.619566395,241
241,ORC1,0.76560943,242
242,S100A8,0.5136390479999999,243
243,NEK6,0.211377562,244
244,IGSF10,0.7207195590000001,245
245,PLXNC1,1.0,246
246,CCDC68,0.13786551800000002,247
247,SSH2,0.638867144,248
248,AREL1,0.238953396,249
249,CD164L2,0.379580084,250
250,LEF1,1.0,251
251,CCDC74B,0.28849193100000003,252
252,LAMP2,0.165466434,253
253,DDX28,0.006673708,254
254,TREML1,0.820817316,255
255,TAS2R19,0.647707781,256
256,RAB19,0.486403508,257
257,BPIFC,0.219004177,258
258,CCNK,0.010254230999999999,259
259,CLVS2,0.744770649,260
260,CACFD1,0.45488939700000003,261
261,ZNRD1,1.0,262
262,LRIT3,0.518724243,263
263,HNRNPA3,0.070137384,264
264,SEPSECS,1.0,265
265,NRAP,0.381895572,266
266,PPP2R2A,0.18673061100000002,267
267,DUSP3,1.0,268
268,PPAPDC1B,0.656500736,269
269,STUB1,0.217232946,270
270,MGAT4A,0.128209371,271
271,MYH13,0.451304252,272
272,C11ORF74,0.036001514,273
273,C19ORF70,0.403786135,274
274,MAST1,0.09104166300000001,275
275,SLC25A53,0.78145371,276
276,OR13C2,0.7874954190000001,277
277,ORAI2,1.0,278
278,HINFP,0.851113314,279
279,ZNF615,0.892428785,280
280,NMNAT3,0.42916346299999997,281
281,TNC,0.791128157,282
282,HAUS5,0.527966159,283
283,CCDC170,0.306648386,284
284,EXOSC10,0.599522484,285
285,IKBKE,1.0,286
286,KCTD13,0.109876637,287
287,KCNA6,0.17312248100000002,288
288,TAF10,0.7324345090000001,289
289,PRR15L,1.0,290
290,RPUSD2,0.278965187,291
291,XPO1,0.7930217079999999,292
292,ZNF48,1.0,293
293,RBPJ,0.47394119700000004,294
294,EMC6,1.0,295
295,ANKRD46,1.0,296
296,SUGP1,0.47498300299999996,297
297,LAIR2,0.586654379,298
298,CLEC9A,0.7107170209999999,299
299,N4BP2,0.600262995,300
300,CCNT1,0.24536077399999998,301
301,OPTC,1.0,302
302,RHO,0.418134834,303
303,SMC3,0.637216401,304
304,SFXN3,1.0,305
305,OR5T1,0.326646105,306
306,CRTAP,0.8086561720000001,307
307,MAZ,0.601682866,308
308,FOXP2,0.33709409700000004,309
309,GABARAPL1,0.061145606,310
310,ABCB8,0.7108993090000001,311
311,ABCA8,0.772650875,312
312,CYSTM1,1.0,313
313,EIF2S1,1.0,314
314,ZNF708,0.7785400259999999,315
315,FAM168A,0.612747123,316
316,ANO8,1.0,317
317,HIST1H2BB,0.636021488,318
318,AMDHD1,0.510401275,319
319,NOP16,0.6820601759999999,320
320,RNF135,0.8221255,321
321,DHFR,0.53298577,322
322,MARCH8,0.068823589,323
323,CAMKK2,0.034097432999999996,324
324,ARMCX6,0.423049241,325
325,ADH7,0.263751493,326
326,ETV2,1.0,327
327,KCNE2,0.018522618,328
328,GLIPR1L2,1.0,329
329,IKZF1,0.01447594,330
330,FAM160B1,1.0,331
331,ZNF773,0.8688529420000001,332
332,DCTN6,0.5057467999999999,333
333,MSX1,0.199701195,334
334,MAML2,0.242754169,335
335,GUCY1A2,0.48518091,336
336,CCL20,0.737604412,337
337,NMD3,0.753026385,338
338,SYCP2L,0.779504106,339
339,ITGAL,0.565600791,340
340,AAAS,0.461047785,341
341,CARD8,0.609869165,342
342,SCAMP5,0.44881647700000005,343
343,AARS,0.23199900199999998,344
344,RNF114,0.754423382,345
345,NTSR2,0.205656957,346
346,TM4SF20,0.5820217520000001,347
347,CCL21,0.144464898,348
348,RCE1,0.594461124,349
349,ACVR2A,0.781690581,350
350,TIE1,0.489467185,351
351,PELP1,0.896236258,352
352,IMPG2,1.63e-05,353
353,HSPE1,1.0,354
354,CNOT11,0.5624784620000001,355
355,C19ORF80,1.0,356
356,IRX6,0.484497943,357
357,SLC30A3,0.758382146,358
358,ESRRA,0.769379864,359
359,DGAT2L6,0.833302359,360
360,SLC30A4,0.65239385,361
361,KRTAP19-8,0.656880892,362
362,ABCF2,0.18412942100000002,363
363,CD97,0.318908878,364
364,SLC10A5,1.0,365
365,ZNF148,0.570930164,366
366,DNAJC2,0.046274185,367
367,AXIN1,0.374274,368
368,BLM,0.011112553999999998,369
369,ARID4A,0.310556124,370
370,IAPP,0.33809874,371
371,TBC1D28,1.0,372
372,RGS7,1.0,373
373,RBM17,0.7122770959999999,374
374,HYPK,0.426490262,375
375,SPRR1B,1.0,376
376,RGSL1,0.211360438,377
377,TECTB,0.069555398,378
378,CHRNA2,0.745523587,379
379,WDR73,0.119022368,380
380,POTEI,1.0,381
381,OR10S1,0.349388563,382
382,RAB11FIP2,1.0,383
383,PRDM6,0.82661133,384
384,GSTM5,0.141248663,385
385,ANKRD52,0.00765637,386
386,UPF2,1.0,387
387,S100G,0.53298577,388
388,GPR32,0.646125327,389
389,TMEM246,0.653073156,390
390,UGT2B28,0.853218441,391
391,OR2T6,0.701303655,392
392,NELL1,0.671539896,393
393,SPHK2,0.094903124,394
394,PACSIN3,0.07662385299999999,395
395,CCT6B,0.20971805899999998,396
396,SH3BGRL3,0.579078612,397
397,UNK,1.0,398
398,TAGLN3,1.0,399
399,WDR54,0.852832123,400
400,SAMD14,0.849029409,401
401,HSF4,0.23687523,402
402,ASB15,0.37965321,403
403,CDK4,1.0,404
404,ZSCAN21,0.701363927,405
405,MRPS15,0.594265725,406
406,QSOX2,0.261525361,407
407,NME1,1.0,408
408,STX8,0.099439167,409
409,EVI5L,0.7087103659999999,410
410,PHGDH,0.642679115,411
411,RNF113B,0.86014561,412
412,HIST2H3D,0.024280652000000003,413
413,KIR3DL3,0.58062461,414
414,PMPCB,0.5630428239999999,415
415,MUC4,0.115648391,416
416,ZNF230,0.203453301,417
417,EIF4E1B,0.51102724,418
418,ACACA,0.8018385090000001,419
419,TMEM66,0.851946071,420
420,CHRNB4,0.526262869,421
421,CYP26C1,0.543862819,422
422,ZNF831,0.07881115400000001,423
423,MAF1,0.482331658,424
424,UFSP1,0.144128507,425
425,NFAT5,0.638713825,426
426,TBC1D9B,0.754595328,427
427,OR7G1,0.035592883,428
428,TRIM69,0.875333053,429
429,CNOT2,0.23916551100000003,430
430,C9ORF173,1.0,431
431,OR6X1,0.6728305609999999,432
432,HIST2H2BE,0.669710909,433
433,SS18L2,1.0,434
434,ENG,0.278334721,435
435,ADRB3,0.635432483,436
436,PRMT5,0.5817578520000001,437
437,VEPH1,0.390974528,438
438,TMEM156,0.44881647700000005,439
439,TOR1B,0.643987151,440
440,UCP3,0.176476926,441
441,SOX10,0.058745528,442
442,ZFR,1.0,443
443,C1ORF61,1.0,444
444,LHFPL4,0.259734603,445
445,ZNF512,0.6451907370000001,446
446,PDZRN4,0.7636354759999999,447
447,ASMT,1.0,448
448,TMEM86B,0.467932309,449
449,LOXL2,0.642578591,450
450,GDPGP1,0.44484788,451
451,NR1D1,0.064585043,452
452,TYW1,0.8664051079999999,453
453,PFKM,0.644051767,454
454,ACTL7A,0.597698317,455
455,GPR75,0.7136203090000001,456
456,NEK11,0.539586896,457
457,TBC1D10C,0.465063541,458
458,LRRC48,0.615001454,459
459,C2ORF69,1.0,460
460,PROK2,0.098279829,461
461,CSGALNACT1,0.32773039800000003,462
462,PLEKHN1,0.8788126629999999,463
463,ANKRD6,0.204803177,464
464,RNF175,0.349337196,465
465,DHRS7,0.65720386,466
466,OR4S1,0.7121060570000001,467
467,TM2D2,0.798190353,468
468,SPIRE2,1.0,469
469,VANGL2,0.7359993340000001,470
470,ARPP21,0.22545563,471
471,ARHGEF17,0.796464552,472
472,TEX2,0.508690925,473
473,SH2D4A,1.0,474
474,AMOTL2,0.23010317600000002,475
475,TBL3,1.0,476
476,CARF,0.858987026,477
477,CLUL1,0.40783085700000005,478
478,HSPB8,1.0,479
479,OR1S2,0.25281519199999997,480
480,MFNG,0.5778100620000001,481
481,TMBIM6,0.339700479,482
482,TBR1,0.47193959,483
483,IQCF2,1.0,484
484,FBXW5,0.912729606,485
485,WTAP,0.045150012,486
486,OR1L3,1.0,487
487,NPBWR1,0.791599954,488
488,NCS1,1.0,489
489,IFNA8,1.0,490
490,RAD18,0.03548747,491
491,ADAMTS16,0.5065332,492
492,S1PR1,1.0,493
493,ZSWIM6,0.645457634,494
494,MAGED1,0.01986678,495
495,RRAGD,0.762648804,496
496,RPL29,0.142810466,497
497,C1ORF189,0.656880892,498
498,GABRQ,0.115253434,499
499,RBBP8,0.7280481440000001,500
500,EGFL6,0.6977067690000001,501
501,DYTN,0.876349475,502
502,RHEBL1,0.116614754,503
503,NUP62,0.19811621899999998,504
504,PTP4A2,1.0,505
505,RRAD,0.5775237879999999,506
506,GNPTAB,0.71221942,507
507,CSE1L,0.559153944,508
508,ABCC2,1.0,509
509,SOST,0.288058841,510
510,ADH1B,0.705900368,511
511,KIAA1683,0.213099612,512
512,DDX50,0.878400098,513
513,KLF12,0.186359148,514
514,S100A7A,0.037425921,515
515,SLC16A9,0.610833461,516
516,OR5AU1,0.144042227,517
517,WDR48,0.814698549,518
518,ITGB1BP1,0.28946552,519
519,TUSC3,1.0,520
520,HSPA9,0.081402839,521
521,ECHS1,0.689804865,522
522,ECEL1,0.214861818,523
523,RAB35,0.035144537999999996,524
524,DAPK3,0.53784823,525
525,TTC3,0.7888975429999999,526
526,PDCL2,1.0,527
527,KRTAP9-2,1.0,528
528,NUMBL,0.27911119100000004,529
529,BCS1L,1.0,530
530,PLCZ1,0.39761877,531
531,GPR142,0.540667774,532
532,SPANXN2,0.7688370790000001,533
533,KIAA1199,0.123531999,534
534,MTMR10,0.147371013,535
535,FAM13B,0.516220373,536
536,C2ORF50,0.40117797200000005,537
537,EGR3,1.0,538
538,CLDND2,0.733085495,539
539,COL9A3,0.7226893520000001,540
540,MKLN1,0.852328188,541
541,RNF146,1.0,542
542,KCNJ3,1.0,543
543,ADAMTS5,0.140809149,544
544,ZNF157,0.476923245,545
545,CDK17,1.0,546
546,LHX2,0.289330712,547
547,RASSF1,0.515035036,548
548,MDM2,0.591653471,549
549,KRT9,1.0,550
550,FETUB,0.434489525,551
551,ALKBH5,0.815389355,552
552,YWHAH,0.658452088,553
553,WDR27,0.390450412,554
554,CMA1,0.623387963,555
555,LCNL1,0.7412629620000001,556
556,EML3,0.277732212,557
557,C6ORF163,0.045169404,558
558,ICOSLG,0.799278745,559
559,PPRC1,0.265183457,560
560,NUDT12,0.366705655,561
561,ADAMTSL4,0.644261494,562
562,ZNF596,0.89323259,563
563,ABR,0.055368405999999995,564
564,NPR2,0.091403424,565
565,SSUH2,0.39609423,566
566,SERPING1,0.119811277,567
567,PLAUR,0.5695088770000001,568
568,SUN2,0.178357182,569
569,SOGA2,0.177171238,570
570,WSCD1,0.884752847,571
571,LRRC8B,1.0,572
572,SMARCA1,0.279966758,573
573,MGP,0.283265854,574
574,SHKBP1,0.36697997,575
575,FCN2,1.0,576
576,WNT16,1.0,577
577,DCTN2,0.5624784620000001,578
578,MYO3A,0.158060743,579
579,ARID1A,0.844746842,580
580,TRHR,0.514929491,581
581,FAM83C,0.533355563,582
582,TIGD4,0.534417081,583
583,PHACTR2,0.576976768,584
584,REPS1,0.067329955,585
585,NUP210L,0.8300418009999999,586
586,ARL6,0.73767284,587
587,BUD13,0.76286785,588
588,NSUN6,0.48823692399999996,589
589,ZNF572,0.87193882,590
590,RASGRF1,1.0,591
591,OR51F2,0.17865333100000003,592
592,ALDH9A1,1.0,593
593,RNF38,0.34848938399999996,594
594,TADA1,0.597790071,595
595,ECT2,0.881305758,596
596,CDK14,0.42571112299999997,597
597,GTF2E2,0.612110779,598
598,CASC3,0.870584418,599
599,OR5L1,0.072188295,600
600,NASP,0.7386983570000001,601
601,L1CAM,0.7109389759999999,602
602,ZNF639,0.637982587,603
603,TRAIP,0.18415025100000001,604
604,BOC,0.240237311,605
605,C12ORF66,0.203359646,606
606,CNTNAP1,0.905577091,607
607,PRSS23,0.866816105,608
608,FAM84A,0.042473035,609
609,ARFGAP1,0.698913443,610
610,PIAS1,0.19797970399999998,611
611,KRTAP9-3,0.46058489799999996,612
612,TKTL1,0.845836492,613
613,SWT1,0.251086072,614
614,AFF2,0.893820433,615
615,PRSS35,0.803608862,616
616,PTPN7,0.09719014699999999,617
617,MSMO1,0.17624067699999998,618
618,MSRA,0.818537438,619
619,LRRC15,0.34071602799999995,620
620,SLC25A10,0.829463235,621
621,TERF2IP,1.0,622
622,DHX16,0.298603527,623
623,PWWP2A,0.100738934,624
624,CHD2,0.797070443,625
625,TAX1BP1,0.23080576600000002,626
626,C15ORF39,0.057743511,627
627,C22ORF24,0.214935606,628
628,HIST1H2AB,1.0,629
629,DCHS1,0.7052777729999999,630
630,TAS2R60,0.84020985,631
631,FAM153A,0.225636654,632
632,KIAA1432,0.03484687,633
633,OR51B5,0.66991314,634
634,RB1CC1,0.271320615,635
635,GADD45G,1.0,636
636,TTI1,0.10650355199999999,637
637,GPM6B,0.43544396399999996,638
638,DUSP2,0.017316907,639
639,MYT1L,0.758488798,640
640,CUEDC2,0.196323825,641
641,HLA-DRB1,0.018700186,642
642,GFAP,0.481409689,643
643,DGAT1,1.0,644
644,SIGLEC5,0.767115304,645
645,ADAM23,0.32137738899999996,646
646,APEX2,0.40315203299999997,647
647,NID2,0.139232576,648
648,TIMM17B,1.0,649
649,CCDC155,1.0,650
650,RIPK2,0.848306656,651
651,KCNA4,0.434534511,652
652,SLC22A1,0.30841494399999997,653
653,MMP16,0.54612595,654
654,DNAH6,1.0,655
655,SSSCA1,1.0,656
656,C14ORF39,1.0,657
657,PINX1,0.599384068,658
658,FRMD5,1.0,659
659,GLDC,0.254791234,660
660,PKN3,0.104031994,661
661,GPIHBP1,0.556716958,662
662,NONO,1.0,663
663,DSCAML1,0.620331647,664
664,KDM6B,0.9102559109999999,665
665,FCGR2A,0.645421424,666
666,RPF1,1.0,667
667,NPBWR2,0.024421212,668
668,TLN1,0.593252082,669
669,DEPDC4,0.035469322000000005,670
670,L3MBTL4,0.01128746,671
671,SPPL2C,0.229879637,672
672,GPR158,0.00032570200000000003,673
673,FAM129C,0.20991802399999998,674
674,SPOCK2,0.054898873,675
675,LYPLA1,0.25445549,676
676,ITGAD,0.39362238200000005,677
677,PP2D1,0.44035607,678
678,LCN6,1.0,679
679,RIC8A,0.546266963,680
680,XKR6,0.005868606,681
681,MROH1,1.0,682
682,PLEK,0.235975634,683
683,FEM1C,0.1868244,684
684,DPY30,1.0,685
685,CD8B,1.0,686
686,S100A10,0.09025516199999999,687
687,STAT5B,0.09234670099999999,688
688,UBIAD1,0.412527907,689
689,PRRC2A,0.012595973,690
690,PPP1R36,0.851710128,691
691,XKR7,0.849501073,692
692,C10ORF95,0.28095829699999997,693
693,TMPRSS4,1.0,694
694,GPR149,0.317926513,695
695,NUP205,1.0,696
696,C1ORF227,0.607159256,697
697,FAM98B,0.15356731199999998,698
698,GALNT11,1.0,699
699,COG4,0.897182363,700
700,NDRG3,1.0,701
701,C1ORF105,0.484013929,702
702,GLRX,1.0,703
703,SERPINA3,0.8704693590000001,704
704,PRKD1,0.219900328,705
705,NLRP8,0.042184518,706
706,PRB2,0.462479794,707
707,GNPDA1,0.576188212,708
708,SYT5,0.11035101300000001,709
709,LFNG,0.141812605,710
710,PARD3B,0.080574063,711
711,AIM2,0.60534676,712
712,APOA1BP,0.5765897179999999,713
713,LMO2,0.751908136,714
714,C1QL3,1.0,715
715,ACTL8,0.30285629,716
716,RNASE8,0.379070605,717
717,TFF1,0.36812828200000003,718
718,CAAP1,0.44843921200000003,719
719,BNC1,0.112574607,720
720,OLFM2,0.35901023200000004,721
721,MUCL1,0.7471334890000001,722
722,VPS28,0.372133259,723
723,PDE6H,0.264177405,724
724,YIPF1,0.007860795,725
725,GRAMD1A,0.7086012140000001,726
726,BIRC8,0.008508736999999999,727
727,RASA2,1.0,728
728,PPIP5K2,1.0,729
729,UCHL3,0.439887517,730
730,GCNT3,1.0,731
731,ESCO1,0.6160463310000001,732
732,TRAPPC3,0.111840066,733
733,ACAT2,0.8379943440000001,734
734,VTA1,0.559727999,735
735,FAM47B,0.726034318,736
736,SLC5A4,0.24704420800000002,737
737,ORC5,0.8781608790000001,738
738,GPATCH2,0.653116998,739
739,OSBPL9,0.711041626,740
740,SEMA4C,0.009420831,741
741,C1ORF173,0.5392870679999999,742
742,EEF1D,1.0,743
743,DEFB112,1.0,744
744,EIF3I,0.241839164,745
745,TVP23C,0.37755557799999995,746
746,TSSK3,0.706395069,747
747,CTBP1,0.308759513,748
748,FUBP1,0.45595561700000004,749
749,GPR37,0.632361147,750
750,DNAL1,0.431677905,751
751,MRPS9,0.280372639,752
752,PRTFDC1,0.039737122,753
753,OTUD5,0.028291652,754
754,AMD1,0.14707239,755
755,RAB24,0.22751460899999998,756
756,GTF3C4,0.18048388199999998,757
757,SEC22C,1.0,758
758,SAR1B,0.005269716,759
759,DBI,1.0,760
760,SNCA,0.19216172199999998,761
761,UPK1B,0.228851683,762
762,ATXN3,0.108574916,763
763,MCOLN2,0.335285561,764
764,MNT,0.8384298059999999,765
765,EPX,0.336711553,766
766,C8A,0.469004488,767
767,RNF7,1.0,768
768,GLI2,0.9245442840000001,769
769,CC2D1A,0.7343728970000001,770
770,FCRLB,0.367167542,771
771,AEN,0.839910735,772
772,TNFRSF21,0.629753114,773
773,ARMC5,0.320147218,774
774,SHISA9,0.196105098,775
775,ERCC6L2,0.39731188799999995,776
776,PDXDC1,0.886851356,777
777,CDC42BPB,1.0,778
778,KEAP1,0.250006761,779
779,TMED6,0.8533005990000001,780
780,FBXO15,0.150172433,781
781,ALDH1B1,0.639491369,782
782,CEBPZ,0.912378362,783
783,CDHR5,0.82641535,784
784,INPP5E,0.343802793,785
785,GGH,0.009311521,786
786,OR2L8,0.823365892,787
787,PKNOX1,0.014688821000000001,788
788,HS3ST1,0.268729817,789
789,ILF3,0.48827490100000004,790
790,TMEM120B,0.071576633,791
791,AZIN1,0.047492219,792
792,GFOD1,0.39080991200000004,793
793,SYP,0.7554901279999999,794
794,BRD1,0.779377007,795
795,NME6,0.062324542000000004,796
796,UBR1,0.505130027,797
797,YIF1A,0.8407821259999999,798
798,FCGR3B,0.411785797,799
799,PRSS50,0.803115562,800
800,KLF11,0.8907469290000001,801
801,FRMPD1,0.21437068899999998,802
802,GRAMD1C,0.870236239,803
803,RSU1,0.040819242,804
804,BIRC6,0.40391861100000004,805
805,CCL3,1.0,806
806,CNNM2,1.0,807
807,HIST1H4G,0.273635438,808
808,DHRS3,0.097998335,809
809,HIST1H2BI,0.31678628600000003,810
810,HS3ST3B1,0.071579118,811
811,EDC4,0.065157176,812
812,CKAP2L,0.705190126,813
813,SPAG9,0.893203773,814
814,FAM47E,0.034465613,815
815,C1ORF216,1.0,816
816,ATP6V1E2,0.409058847,817
817,FAM78B,0.435969144,818
818,SUCO,1.0,819
819,SLC39A8,0.803375209,820
820,SIM2,1.0,821
821,MMP20,0.21277827600000002,822
822,ASH2L,0.445367708,823
823,LYPLA2,0.776917648,824
824,TAS2R8,1.0,825
825,MIS18BP1,0.805777898,826
826,CPT2,1.0,827
827,RHOU,0.708399917,828
828,PPIF,1.0,829
829,TMEM63B,1.0,830
830,ALDH1L2,0.49469540100000003,831
831,SDHD,0.340255077,832
832,SMCO3,0.345721347,833
833,HMP19,0.267789493,834
834,TSPAN33,0.44984665100000004,835
835,TLR2,0.76532061,836
836,HYOU1,0.794606735,837
837,CD200,0.308729566,838
838,GSTO1,0.830399861,839
839,IQCK,0.216472568,840
840,MS4A7,0.767115304,841
841,LRRC39,0.407986389,842
842,PDILT,0.048749901,843
843,SLC6A4,0.678717857,844
844,MAPK8IP3,0.058336228,845
845,ADD1,1.0,846
846,PCDHGA10,0.234396297,847
847,MRPL3,0.697916957,848
848,SPINK5,0.634232754,849
849,TTC7A,0.359788314,850
850,SHQ1,0.639529517,851
851,HOXB13,0.828204484,852
852,KIAA0586,0.17600670399999999,853
853,SH2D1B,0.722471174,854
854,PLA2G12A,0.236086844,855
855,ZMYND10,0.777669025,856
