gene	transcript	canonical	obs_lof	exp_lof	oe_lof	oe_lof_lower	oe_lof_upper	obs_mis	exp_mis	oe_mis	oe_mis_lower	oe_mis_upper	obs_syn	exp_syn	oe_syn	oe_syn_lower	oe_syn_upper	lof_z	mis_z	syn_z	pLI	pRec	pNull	gene_issues
AADACL2	ENST00000356517	True	12.0	11.470999999999998	1.0461	0.668	1.662	205.0	215.18	0.9526700000000001	0.849	1.07	79.0	75.81	1.0421	0.868	1.257	-0.14554	0.25186	-0.28681	1.0332e-08	0.096542	0.90346	[]
AADACL3	ENST00000359318	True	3.0	4.174	0.71873	0.323	1.677	212.0	200.71	1.0563	0.944	1.184	91.0	80.697	1.1277	0.951	1.342	0.53556	-0.28913	-0.898	0.013172999999999999	0.67569	0.31114	[]
AADACL4	ENST00000376221	True	6.0	6.7945	0.8830600000000001	0.48	1.662	275.0	236.86	1.161	1.051	1.283	88.0	94.775	0.9285200000000001	0.781	1.109	0.28408	-0.89896	0.54486	0.00017273	0.46811	0.53171	[]
AADAT	ENST00000337664	True	6.0	23.232	0.25826	0.14	0.51	125.0	226.99	0.5506800000000001	0.475	0.639	69.0	75.96	0.90838	0.747	1.11	3.332	2.4559	0.62521	0.14714000000000002	0.85272	0.0001421	[]
AAED1	ENST00000375234	True	10.0	8.433	1.1858	0.724	1.828	79.0	84.225	0.9379700000000001	0.781	1.131	21.0	31.468000000000004	0.66735	0.472	0.961	-0.5029	0.20651999999999998	1.461	8.261900000000001e-08	0.08885900000000001	0.91114	[]
AAGAB	ENST00000261880	True	13.0	19.822	0.65582	0.426	1.043	195.0	163.66	1.1915	1.059	1.342	65.0	60.765	1.0697	0.875	1.315	1.4281	-0.88882	-0.42536999999999997	3.8067e-07	0.81433	0.18567	[]
AAK1	ENST00000409085	True	2.0	48.574	0.041174	0.016	0.13	335.0	503.99	0.6647	0.607	0.728	186.0	192.08	0.9683200000000001	0.858	1.094	6.228	2.7308	0.34374	1.0	6.055399999999999e-07	5.7034e-18	[]
AAMDC	ENST00000526415	True	7.0	6.8854	1.0166	0.573	1.761	67.0	64.154	1.0444	0.857	1.28	26.0	22.289	1.1665	0.854	1.614	-0.040707	-0.12892	-0.61539	2.1993e-05	0.29971	0.70026	[]
AAMP	ENST00000248450	True	4.0	22.073	0.18120999999999998	0.088	0.415	177.0	252.59	0.7007399999999999	0.619	0.794	101.0	101.83	0.9918399999999999	0.843	1.17	3.5852	1.7254	0.064479	0.75169	0.24829	1.6526e-05	[]
AANAT	ENST00000250615	True	5.0	8.2894	0.60318	0.314	1.265	150.0	154.32	0.972	0.85	1.113	67.0	62.828	1.0664	0.875	1.307	1.0648	0.12619	-0.41205	0.0027098	0.80709	0.1902	[]
AAR2	ENST00000373932	True	9.0	11.672	0.7711100000000001	0.464	1.343	190.0	229.68	0.82724	0.734	0.933	83.0	89.76100000000001	0.92468	0.773	1.11	0.7287899999999999	0.94985	0.55872	8.8549e-06	0.54524	0.45475	[]
AARD	ENST00000378279	True	1.0	4.1855	0.23892	0.084	1.122	90.0	80.96	1.1117	0.936	1.325	38.0	35.899	1.0585	0.816	1.387	1.4511	-0.36448	-0.27453	0.32549	0.61425	0.060263	[]
AARS	ENST00000261772	True	22.0	48.658	0.45214	0.322	0.646	537.0	546.47	0.9826600000000001	0.915	1.055	231.0	211.75	1.0909	0.979	1.217	3.5617	0.14704	-1.036	8.0844e-09	0.9999600000000001	4.3933e-05	[]
AARS2	ENST00000244571	True	35.0	53.897	0.6493899999999999	0.495	0.861	561.0	566.5	0.99029	0.923	1.062	196.0	225.45	0.8693799999999999	0.773	0.979	2.3989	0.083882	1.5356	2.651e-17	0.94458	0.055415	[]
AARSD1	ENST00000427569	True	16.0	21.572	0.7417	0.501	1.127	242.0	242.71	0.9970600000000001	0.897	1.109	92.0	91.05799999999999	1.0103	0.853	1.202	1.1181	0.016641	-0.077274	3.3662e-09	0.52695	0.47305	[]
AASDH	ENST00000205214	True	28.0	45.813	0.61119	0.452	0.838	530.0	552.29	0.95965	0.893	1.031	186.0	205.66	0.9044	0.802	1.021	2.4527	0.34402	1.0734	1.3788e-13	0.9798600000000001	0.020141	[]
AASDHPPT	ENST00000278618	True	5.0	14.755	0.33886	0.176	0.712	150.0	167.4	0.89604	0.784	1.026	55.0	56.715	0.9697600000000001	0.78	1.214	2.3669	0.48796999999999996	0.17832	0.036069	0.95693	0.0070014	[]
AASS	ENST00000393376	True	26.0	44.736000000000004	0.58118	0.425	0.806	445.0	508.78	0.87464	0.808	0.946	172.0	181.76	0.9462799999999999	0.835	1.074	2.6107	1.0258	0.56706	2.5265e-12	0.99221	0.0077928	[]
AATF	ENST00000225402	True	20.0	28.905	0.69192	0.486	1.005	289.0	308.22	0.93763	0.851	1.034	118.0	116.32	1.0145	0.873	1.182	1.5437	0.39723	-0.12217	9.807600000000002e-11	0.72424	0.27576	[]
AATK	ENST00000326724	True	9.0	41.762	0.21550999999999998	0.129	0.376	638.0	715.24	0.8920100000000001	0.835	0.952	402.0	347.56	1.1566	1.065	1.256	4.7248	1.0477	-2.2864	0.5562	0.4438	3.5548999999999996e-08	[]
ABAT	ENST00000396600	True	9.0	27.517	0.32708000000000004	0.196	0.571	264.0	292.4	0.9028799999999999	0.816	1.0	127.0	115.83	1.0965	0.948	1.271	3.2898	0.60247	-0.81279	0.006047	0.99379	0.00016717	[]
ABCA1	ENST00000374736	True	42.0	116.16	0.36158	0.281	0.468	1027.0	1222.3	0.84025	0.797	0.885	507.0	474.09	1.0694	0.994	1.151	6.4125	2.0261	-1.1834	3.5266e-12	1.0	3.8856e-14	[]
ABCA10	ENST00000269081	True	60.0	76.685	0.78242	0.635	0.97	761.0	763.87	0.99625	0.938	1.058	259.0	264.27	0.98005	0.885	1.086	1.7757	0.037649	0.25397	2.6533e-33	0.015102	0.9849	[]
ABCA12	ENST00000272895	True	49.0	132.13	0.37085	0.294	0.471	1169.0	1363.0	0.85769	0.817	0.9	515.0	509.98	1.0098	0.939	1.086	6.74	1.906	-0.17414000000000002	1.344e-14	1.0	1.6044e-15	[]
ABCA13	ENST00000435803	True	181.0	198.95	0.9097799999999999	0.805	1.029	2615.0	2471.3	1.0581	1.024	1.093	973.0	959.74	1.0138	0.961	1.069	1.186	-1.0487	-0.33510999999999996	4.782699999999998e-112	1.7181e-14	1.0	[]
ABCA2	ENST00000341511	True	11.0	117.48	0.093636	0.058	0.155	979.0	1582.8	0.61852	0.586	0.652	819.0	739.73	1.1072	1.045	1.173	9.1555	5.5059	-2.2819	1.0	1.0875e-11	8.9374e-36	[]
ABCA3	ENST00000301732	True	26.0	71.99	0.36116	0.264	0.501	987.0	1025.3	0.9626899999999999	0.913	1.015	540.0	456.17	1.1838	1.102	1.271	5.0517	0.4334	-3.0729	6.8033e-08	1.0	3.4590999999999998e-09	[]
ABCA4	ENST00000370225	True	87.0	113.86	0.76413	0.642	0.913	1303.0	1260.9	1.0334	0.987	1.082	538.0	497.9	1.0805	1.006	1.16	2.3456	-0.43057	-1.407	5.8485e-47	0.006638600000000001	0.99336	[]
ABCA5	ENST00000392676	True	51.0	79.274	0.6433399999999999	0.513	0.812	725.0	771.47	0.93976	0.883	0.999	256.0	254.25	1.0069	0.908	1.117	2.9595	0.60698	-0.085993	1.2709e-24	0.9843700000000001	0.015631	[]
ABCA6	ENST00000284425	True	52.0	77.26100000000001	0.67304	0.538	0.848	814.0	781.76	1.0412	0.982	1.103	265.0	279.87	0.9468799999999999	0.856	1.048	2.6784	-0.41834	0.69572	1.0619e-25	0.9082100000000001	0.091789	[]
ABCA7	ENST00000263094	True	90.0	101.3	0.8884799999999999	0.748	1.059	1475.0	1364.1	1.0813	1.035	1.129	633.0	614.23	1.0306	0.965	1.101	1.046	-1.0897	-0.5931	4.4592e-55	7.812e-07	1.0	[]
ABCA8	ENST00000269080	True	78.0	79.694	0.97875	0.814	1.182	825.0	812.41	1.0155	0.958	1.076	294.0	312.61	0.9404600000000001	0.854	1.036	0.1768	-0.16019	0.82415	5.1249e-51	7.3743e-08	1.0	[]
ABCA9	ENST00000340001	True	75.0	87.60700000000001	0.85609	0.71	1.037	756.0	832.52	0.90809	0.855	0.964	296.0	311.04	0.9516399999999999	0.865	1.048	1.2553	0.96204	0.66771	9.828399999999999e-45	5.2066000000000006e-05	0.99995	[]
ABCB1	ENST00000265724	True	21.0	64.008	0.32808000000000004	0.232	0.472	578.0	689.58	0.83819	0.782	0.898	245.0	240.26	1.0197	0.918	1.134	5.01	1.5414	-0.23943000000000003	1.3094e-05	0.9999899999999999	5.352200000000001e-09	[]
ABCB10	ENST00000344517	True	16.0	24.622	0.64983	0.439	0.987	269.0	337.67	0.79664	0.72	0.881	137.0	131.57	1.0412	0.905	1.2	1.6194	1.3557	-0.37035999999999997	1.7016e-08	0.85139	0.14861	[]
ABCB11	ENST00000263817	True	30.0	64.306	0.46652	0.348	0.633	621.0	712.52	0.87155	0.815	0.931	277.0	249.25	1.1113	1.007	1.228	3.9871	1.2439	-1.3759	5.2464e-12	1.0	4.6631e-06	[]
ABCB4	ENST00000265723	True	24.0	68.252	0.35164	0.254	0.495	537.0	697.42	0.76998	0.717	0.827	241.0	264.28	0.9119	0.82	1.015	4.992	2.2037	1.1213	4.5486000000000004e-07	1.0	5.5207e-09	[]
ABCB5	ENST00000404938	True	58.0	64.876	0.8940100000000001	0.723	1.113	803.0	664.19	1.209	1.14	1.282	276.0	237.33	1.1629	1.053	1.285	0.79561	-1.954	-1.9652	7.2347e-36	0.000126	0.99987	"[""mis_too_many""]"
ABCB6	ENST00000265316	True	34.0	45.273	0.7510100000000001	0.57	1.0	499.0	494.2	1.0097	0.937	1.087	232.0	201.55	1.1511	1.033	1.283	1.5614	-0.078263	-1.6796	1.5314e-18	0.26397	0.7360300000000001	[]
ABCB7	ENST00000253577	True	0.0	28.401999999999997	0.0	0.0	0.105	145.0	288.06	0.50337	0.439	0.578	105.0	106.86	0.98256	0.838	1.156	4.9668	3.0579	0.14118	0.9999600000000001	4.2285e-05	4.3228e-12	[]
ABCB8	ENST00000358849	True	27.0	33.57	0.8043	0.592	1.109	445.0	466.36	0.9542	0.882	1.032	188.0	205.73	0.9138299999999999	0.811	1.031	1.0567	0.35878000000000004	0.9676600000000001	9.611399999999999e-16	0.12788	0.8721200000000001	[]
ABCB9	ENST00000542678	True	11.0	28.281	0.38895	0.244	0.644	427.0	494.72	0.86311	0.797	0.935	215.0	223.41	0.9623799999999999	0.86	1.078	3.0285	1.1046	0.4403	0.00029903	0.99918	0.00051999	[]
ABCC1	ENST00000399410	True	20.0	76.181	0.26253000000000004	0.184	0.381	772.0	928.06	0.8318399999999999	0.783	0.883	453.0	405.09	1.1183	1.035	1.209	5.9989	1.8585	-1.8639	0.0064234999999999995	0.9935799999999999	3.5667e-12	[]
ABCC10	ENST00000372530	True	50.0	64.207	0.77873	0.62	0.986	819.0	879.97	0.93071	0.878	0.986	387.0	385.14	1.0048	0.924	1.093	1.6524	0.74569	-0.074367	9.5926e-28	0.039998	0.96	[]
ABCC11	ENST00000394747	True	68.0	68.22399999999999	0.99671	0.819	1.22	805.0	792.19	1.0162	0.958	1.077	331.0	322.82	1.0253	0.936	1.123	0.025289	-0.16512000000000002	-0.35624	4.764399999999999e-45	3.444e-07	1.0	[]
ABCC12	ENST00000311303	True	72.0	68.407	1.0525	0.869	1.281	778.0	770.77	1.0094	0.951	1.071	303.0	310.71	0.9751799999999999	0.887	1.072	-0.40487	-0.09453099999999999	0.34255	3.5312e-49	1.746e-08	1.0	[]
ABCC2	ENST00000370449	True	73.0	76.944	0.9487399999999999	0.785	1.153	861.0	801.19	1.0746	1.015	1.137	312.0	311.17	1.0027	0.913	1.101	0.41903	-0.76653	-0.036673000000000004	7.4967e-47	7.9171e-07	1.0	[]
ABCC3	ENST00000285238	True	52.0	72.279	0.71944	0.575	0.906	841.0	893.5	0.94124	0.889	0.996	346.0	375.7	0.92095	0.843	1.007	2.223	0.63718	1.1997	7.350599999999999e-27	0.40526	0.5947399999999999	[]
ABCC4	ENST00000376887	True	26.0	72.381	0.35921	0.262	0.498	587.0	715.82	0.8200299999999999	0.766	0.878	291.0	276.75	1.0515	0.955	1.159	5.0808	1.7468	-0.67077	7.8739e-08	1.0	2.8043e-09	[]
ABCC5	ENST00000334444	True	19.0	74.309	0.25569000000000003	0.177	0.375	537.0	831.21	0.64604	0.601	0.694	311.0	335.89	0.92591	0.843	1.017	5.9797	3.7021	1.0632	0.016424	0.9835799999999999	4.4676e-12	[]
ABCC6	ENST00000205557	True	60.0	72.273	0.83019	0.673	1.029	911.0	840.77	1.0835	1.025	1.144	386.0	361.59	1.0675	0.981	1.161	1.3454	-0.8786700000000001	-1.005	4.832e-35	0.0014323	0.9985700000000001	[]
ABCC8	ENST00000389817	True	50.0	83.016	0.60229	0.479	0.762	741.0	918.25	0.80697	0.759	0.857	407.0	384.68	1.058	0.975	1.148	3.3772	2.122	-0.89117	2.7202e-23	0.99902	0.00098441	[]
ABCC9	ENST00000261200	True	30.0	85.699	0.35006	0.261	0.475	430.0	850.21	0.50576	0.466	0.548	296.0	300.6	0.9847100000000001	0.895	1.084	5.6074	5.2281	0.20753000000000002	1.5652e-08	1.0	4.7818999999999994e-11	[]
ABCD1	ENST00000218104	True	0.0	19.671	0.0	0.0	0.152	235.0	338.78	0.69367	0.623	0.773	146.0	154.77	0.94334	0.824	1.082	4.1335	2.0454	0.55189	0.99889	0.0011064999999999998	1.2298e-08	[]
ABCD2	ENST00000308666	True	14.0	30.862	0.45363000000000003	0.299	0.709	266.0	402.14	0.66147	0.598	0.732	132.0	141.36	0.93381	0.81	1.079	2.8288	2.4628	0.6161	5.5738e-06	0.9986799999999999	0.0013095000000000001	[]
ABCD3	ENST00000370214	True	13.0	49.25899999999999	0.26391	0.171	0.42	227.0	369.72	0.61398	0.55	0.685	111.0	124.96	0.8882899999999999	0.761	1.04	4.8148	2.6927	0.97772	0.027475	0.97252	3.0249999999999996e-08	[]
ABCD4	ENST00000356924	True	25.0	38.317	0.65245	0.474	0.911	344.0	351.91	0.9775200000000001	0.894	1.069	162.0	145.61	1.1125	0.978	1.267	2.005	0.15295999999999998	-1.0632	1.0777e-12	0.89749	0.10250999999999999	[]
ABCE1	ENST00000296577	True	6.0	37.912	0.15825999999999998	0.086	0.312	112.0	320.46	0.3495	0.299	0.409	91.0	105.47	0.86277	0.727	1.027	4.8303	4.2245	1.1035	0.97664	0.023357	1.4676e-09	[]
ABCF1	ENST00000326195	True	23.0	56.855	0.40454	0.29	0.573	327.0	483.05	0.67695	0.618	0.742	161.0	183.04	0.87961	0.773	1.002	4.1844	2.5757	1.2753	3.3329e-08	1.0	1.1632e-06	[]
ABCF2	ENST00000222388	True	10.0	36.156	0.27658	0.17	0.469	233.0	370.27	0.6292800000000001	0.565	0.701	136.0	134.02	1.0148	0.882	1.17	4.054	2.5879	-0.13407	0.028748000000000003	0.97125	3.4105e-06	[]
ABCF3	ENST00000429586	True	15.0	41.49100000000001	0.36152	0.241	0.557	389.0	428.51	0.9078	0.835	0.987	169.0	166.16	1.0171	0.897	1.155	3.8329	0.6923600000000001	-0.17235	5.713e-05	0.9999299999999999	9.4039e-06	[]
ABCG1	ENST00000361802	True	8.0	31.648000000000003	0.25278	0.147	0.456	307.0	435.79	0.7044699999999999	0.641	0.774	188.0	195.19	0.96319	0.854	1.087	3.9177	2.2381	0.40266	0.12924000000000002	0.87075	7.3757e-06	[]
ABCG2	ENST00000237612	True	44.0	35.891	1.2259	0.962	1.576	397.0	355.33	1.1173	1.028	1.214	121.0	133.61	0.90564	0.781	1.053	-1.2615	-0.80186	0.8539899999999999	1.2599e-32	1.0532e-06	1.0	[]
ABCG4	ENST00000307417	True	14.0	27.6	0.5072399999999999	0.334	0.793	265.0	395.69	0.66971	0.605	0.741	165.0	166.88	0.98874	0.87	1.125	2.4127	2.3835	0.1139	1.6355e-06	0.9925	0.0075012	[]
ABCG5	ENST00000260645	True	31.0	30.285	1.0236	0.768	1.381	405.0	375.62	1.0782	0.993	1.171	179.0	157.07	1.1396	1.008	1.29	-0.12115	-0.55	-1.3699	3.4643e-21	0.0011534000000000002	0.99885	[]
ABCG8	ENST00000272286	True	30.0	29.576999999999998	1.0143	0.758	1.376	515.0	382.91	1.345	1.25	1.447	202.0	165.94	1.2173	1.085	1.368	-0.072513	-2.4488	-2.1919	2.0415e-20	0.0017024999999999998	0.9983	"[""mis_too_many""]"
ABHD1	ENST00000316470	True	31.0	19.914	1.5567	1.159	1.922	268.0	227.54	1.1778	1.065	1.303	94.0	91.979	1.022	0.864	1.213	-2.3151	-0.97314	-0.16495	2.7366000000000003e-25	4.4052e-06	1.0	[]
ABHD10	ENST00000273359	True	10.0	14.587	0.6855399999999999	0.422	1.163	158.0	169.83	0.9303600000000001	0.817	1.062	65.0	62.558	1.039	0.85	1.277	1.1193	0.32924000000000003	-0.24176999999999998	6.7483e-06	0.7265199999999999	0.27348	[]
ABHD11	ENST00000222800	True	6.0	11.894	0.50446	0.275	0.996	176.0	195.03	0.90243	0.797	1.023	79.0	73.789	1.0706	0.892	1.291	1.5927	0.49432	-0.47493	0.0023093000000000002	0.9294100000000001	0.068281	[]
ABHD12	ENST00000376542	True	11.0	23.517	0.46774	0.293	0.774	206.0	218.38	0.9433	0.841	1.059	84.0	84.22200000000001	0.9973700000000001	0.835	1.196	2.4056	0.30396999999999996	0.018930000000000002	5.0046e-05	0.9932799999999999	0.006674800000000001	[]
ABHD12B	ENST00000337334	True	21.0	18.771	1.1188	0.792	1.604	177.0	173.49	1.0202	0.902	1.156	63.0	62.966	1.0005	0.816	1.234	-0.4795	-0.096692	-0.0033826999999999998	3.0805e-15	0.005238399999999999	0.9947600000000001	[]
ABHD13	ENST00000375898	True	1.0	11.954	0.083652	0.029	0.397	127.0	184.47	0.68845	0.595	0.798	63.0	60.81	1.036	0.845	1.278	2.9527	1.5351	-0.21986	0.90627	0.093587	0.00014162	[]
ABHD14A	ENST00000273596	True	9.0	11.151	0.8071	0.485	1.404	139.0	149.59	0.9291799999999999	0.809	1.07	49.0	66.135	0.7409100000000001	0.588	0.94	0.60032	0.31423	1.6497	6.3561e-06	0.4755	0.52449	[]
ABHD14A-ACY1	ENST00000463937	True	19.0	25.879	0.7342	0.511	1.077	274.0	285.57	0.9594799999999999	0.869	1.06	108.0	111.97	0.9645799999999999	0.824	1.132	1.2602	0.24839	0.29347	1.1982e-10	0.52756	0.47243999999999997	[]
ABHD14B	ENST00000483233	True	6.0	6.4509	0.9301	0.505	1.715	97.0	123.59	0.78485	0.665	0.929	35.0	54.65	0.64044	0.488	0.849	0.16547	0.8677299999999999	2.0811	0.00013713	0.42258999999999997	0.57727	[]
ABHD15	ENST00000307201	True	12.0	13.09	0.91676	0.586	1.48	268.0	263.23	1.0181	0.921	1.127	138.0	119.13	1.1584	1.008	1.334	0.28067	-0.10676	-1.3538	3.9813e-08	0.20309000000000002	0.79691	[]
ABHD16A	ENST00000395952	True	9.0	38.949	0.23106999999999997	0.138	0.403	202.0	327.05	0.61765	0.55	0.694	108.0	121.38	0.88976	0.76	1.044	4.4723	2.5085	0.9509200000000001	0.30441	0.6955899999999999	2.5239e-07	[]
ABHD16B	ENST00000369916	True	8.0	12.225	0.65442	0.383	1.18	276.0	310.0	0.8903200000000001	0.806	0.984	128.0	152.1	0.8415299999999999	0.728	0.975	1.1261	0.70055	1.5302	8.0727e-05	0.77698	0.22294	[]
ABHD17A	ENST00000250974	True	5.0	13.25	0.37736	0.196	0.793	176.0	239.38	0.73524	0.649	0.833	117.0	118.01	0.99144	0.852	1.156	2.1122	1.486	0.072824	0.02068	0.9635	0.015823	[]
ABHD17B	ENST00000377041	True	2.0	11.800999999999998	0.16948	0.068	0.533	68.0	161.73	0.42044	0.345	0.514	74.0	58.379	1.2676	1.05	1.538	2.659	2.6739	-1.6007	0.63656	0.36215	0.0012852	[]
ABHD17C	ENST00000258884	True	0.0	8.9689	0.0	0.0	0.334	48.0	162.52	0.29536	0.233	0.376	67.0	70.263	0.95355	0.782	1.169	2.7911	3.2588	0.30482	0.94265	0.05715	0.00019894	[]
ABHD2	ENST00000352732	True	4.0	21.592	0.18525	0.09	0.424	161.0	261.8	0.61498	0.54	0.701	112.0	105.1	1.0657	0.913	1.247	3.5284	2.26	-0.527	0.71659	0.28339000000000003	2.4427e-05	[]
ABHD3	ENST00000289119	True	15.0	20.568	0.72928	0.487	1.123	183.0	206.69	0.88539	0.784	1.001	71.0	79.686	0.891	0.735	1.086	1.1442	0.59775	0.7618	1.333e-08	0.5839	0.4161	[]
ABHD4	ENST00000428304	True	15.0	21.480999999999998	0.6983	0.466	1.075	190.0	220.5	0.86167	0.765	0.972	94.0	83.824	1.1214	0.948	1.331	1.3032	0.7451800000000001	-0.87023	2.2354e-08	0.69609	0.30391	[]
ABHD5	ENST00000458276	True	13.0	20.285999999999998	0.64083	0.416	1.019	166.0	186.0	0.8924700000000001	0.786	1.015	85.0	67.168	1.2655	1.061	1.516	1.5077	0.53201	-1.7035	4.7211999999999997e-07	0.84909	0.15091	[]
ABHD6	ENST00000478253	True	10.0	17.308	0.57776	0.355	0.98	163.0	195.24	0.8348700000000001	0.734	0.951	74.0	78.71	0.94016	0.778	1.141	1.6371	0.83704	0.41565	2.3636e-05	0.9196799999999999	0.08029700000000001	[]
ABHD8	ENST00000247706	True	1.0	15.450999999999999	0.064719	0.022	0.307	217.0	300.54	0.72205	0.646	0.808	129.0	141.94	0.90884	0.787	1.052	3.4263	1.7481	0.8503200000000001	0.97283	0.027162000000000002	6.2842e-06	[]
ABI1	ENST00000376142	True	4.0	24.183000000000003	0.16541	0.08	0.379	176.0	280.92	0.62651	0.553	0.71	100.0	98.809	1.0121	0.86	1.195	3.825	2.2709	-0.093798	0.8695	0.1305	2.7983e-06	[]
ABI2	ENST00000261017	True	5.0	22.993000000000002	0.21745	0.113	0.457	162.0	262.88	0.61625	0.541	0.702	77.0	89.91	0.85641	0.712	1.035	3.4972	2.2572	1.066	0.45082	0.54913	4.8167e-05	[]
ABI3	ENST00000225941	True	7.0	14.855	0.47123000000000004	0.267	0.885	194.0	218.3	0.88869	0.79	1.001	77.0	95.80799999999999	0.80369	0.668	0.971	1.8994	0.5966	1.5044	0.0013982	0.9673	0.031298	[]
ABI3BP	ENST00000284322	True	23.0	60.435	0.38058000000000003	0.273	0.539	466.0	540.8	0.86169	0.798	0.93	154.0	182.19	0.8452799999999999	0.741	0.966	4.4878	1.1669	1.6351	1.2715e-07	1.0	1.7010999999999998e-07	[]
ABL1	ENST00000372348	True	3.0	43.998999999999995	0.06818300000000001	0.03	0.176	519.0	714.1	0.7267899999999999	0.675	0.781	325.0	313.42	1.0369	0.946	1.137	5.7605	2.6487	-0.5120899999999999	0.99998	1.7432000000000002e-05	4.1365e-15	[]
ABL2	ENST00000502732	True	20.0	50.393	0.39688	0.278	0.577	509.0	641.6	0.79332	0.737	0.854	264.0	248.14	1.0639	0.961	1.178	3.9902	1.8992	-0.7881199999999999	4.1872e-07	1.0	3.7088999999999998e-06	[]
ABLIM1	ENST00000277895	True	9.0	46.69	0.19276	0.115	0.336	375.0	478.27	0.7840699999999999	0.72	0.854	170.0	173.43	0.9802	0.864	1.113	5.1406	1.7131	0.20419	0.8878299999999999	0.11217	6.372400000000001e-10	[]
ABLIM2	ENST00000447017	True	13.0	43.037	0.30207	0.196	0.48	384.0	394.08	0.9744200000000001	0.896	1.06	190.0	168.45	1.1279	1.001	1.272	4.2671	0.18420999999999998	-1.2998	0.0027488000000000005	0.99725	8.7664e-07	[]
ABLIM3	ENST00000506113	True	21.0	51.938	0.40433	0.286	0.582	380.0	422.49	0.8994200000000001	0.826	0.979	138.0	152.98	0.9020799999999999	0.785	1.039	4.0009	0.7500100000000001	0.94829	1.4345e-07	1.0	3.4941e-06	[]
ABR	ENST00000302538	True	9.0	47.403999999999996	0.18986	0.113	0.331	264.0	511.15	0.51649	0.466	0.572	237.0	228.66	1.0365	0.931	1.154	5.1984	3.9657	-0.4318	0.9118	0.08819500000000001	3.4141000000000006e-10	[]
ABRA	ENST00000311955	True	10.0	14.665	0.68192	0.42	1.157	233.0	229.53	1.0151	0.911	1.131	100.0	83.963	1.191	1.012	1.406	1.1352	-0.082999	-1.3703	7.0252999999999995e-06	0.7347100000000001	0.26528	[]
ABRACL	ENST00000367660	True	1.0	3.3421	0.29921	0.105	1.358	38.0	46.193999999999996	0.82262	0.634	1.078	18.0	17.692999999999998	1.0173	0.702	1.506	1.194	0.43735	-0.057114	0.25085999999999997	0.64899	0.10015	[]
ABT1	ENST00000274849	True	4.0	8.7243	0.45848999999999995	0.225	1.049	185.0	191.11	0.96801	0.858	1.094	78.0	71.123	1.0967	0.912	1.324	1.4907	0.16044	-0.6384	0.018566	0.9034	0.078037	[]
